Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.788 ± 0.056,0.825 ± 0.096,0.717 ± 0.113,0.710 ± 0.122,0.766 ± 0.088,0.725 ± 0.175,0.733 ± 0.114,0.695 ± 0.211,8.000 ± 4.000
LogisticRegression,0.786 ± 0.065,0.830 ± 0.116,0.682 ± 0.116,0.673 ± 0.127,0.728 ± 0.102,0.676 ± 0.198,0.691 ± 0.138,0.670 ± 0.190,8.000 ± 4.000
SVM_Linear,0.783 ± 0.065,0.837 ± 0.092,0.696 ± 0.098,0.700 ± 0.097,0.753 ± 0.126,0.691 ± 0.179,0.706 ± 0.119,0.709 ± 0.148,8.000 ± 4.000
KNN,0.738 ± 0.096,0.760 ± 0.137,0.653 ± 0.134,0.640 ± 0.101,0.703 ± 0.178,0.619 ± 0.274,0.634 ± 0.198,0.661 ± 0.217,8.000 ± 4.000
NaiveBayes,0.735 ± 0.092,0.803 ± 0.067,0.635 ± 0.118,0.591 ± 0.155,0.630 ± 0.122,0.887 ± 0.060,0.730 ± 0.084,0.295 ± 0.284,8.000 ± 4.000
RandomForest,0.729 ± 0.110,0.776 ± 0.144,0.684 ± 0.086,0.672 ± 0.089,0.727 ± 0.131,0.688 ± 0.205,0.691 ± 0.134,0.656 ± 0.213,8.000 ± 4.000
ExtraTrees,0.722 ± 0.121,0.773 ± 0.164,0.659 ± 0.131,0.661 ± 0.128,0.722 ± 0.177,0.637 ± 0.154,0.668 ± 0.151,0.685 ± 0.175,8.000 ± 4.000
LightGBM,0.710 ± 0.132,0.770 ± 0.165,0.609 ± 0.104,0.597 ± 0.112,0.661 ± 0.169,0.595 ± 0.154,0.620 ± 0.143,0.598 ± 0.191,8.000 ± 4.000
GradientBoosting,0.709 ± 0.124,0.774 ± 0.157,0.646 ± 0.086,0.637 ± 0.096,0.694 ± 0.113,0.643 ± 0.177,0.656 ± 0.120,0.630 ± 0.181,8.000 ± 4.000
XGBoost,0.684 ± 0.066,0.755 ± 0.143,0.619 ± 0.065,0.612 ± 0.061,0.666 ± 0.129,0.638 ± 0.144,0.639 ± 0.104,0.585 ± 0.177,8.000 ± 4.000
