,SVM_RBF,LogisticRegression,SVM_Linear,KNN,NaiveBayes,RandomForest,ExtraTrees,LightGBM,GradientBoosting,XGBoost
SVM_RBF,0.0,-1.0672898442075365,0.18922315506080553,2.593683796679805,2.7654111191318815,2.2832341439560615,3.4606803210450177,2.4156736137669754,3.0272942449041516,3.774432697690501
LogisticRegression,1.0672898442075365,0.0,1.2034309885023295,2.863046806427701,2.8518199120228593,2.6013466930529994,3.9112069381183514,2.7917203954683574,3.361221676721791,3.911458938977087
SVM_Linear,-0.18922315506080553,-1.2034309885023295,0.0,2.339733186971265,2.628183020339368,2.0371935297359145,3.258222159195754,2.299118900200589,2.6674147991448884,3.29121357157765
KNN,-2.593683796679805,-2.863046806427701,-2.339733186971265,0.0,0.850895121976735,-0.28009688359459617,0.9221630101123597,0.5902892489839722,0.4662379048899168,1.4595458504837175
NaiveBayes,-2.7654111191318815,-2.8518199120228593,-2.628183020339368,-0.850895121976735,0.0,-0.9530118642757005,-0.24570687499547675,-0.3434092129624179,-0.4741337121639748,0.23534835214673952
RandomForest,-2.2832341439560615,-2.6013466930529994,-2.0371935297359145,0.28009688359459617,0.9530118642757005,0.0,1.2383475913450526,0.9762283744954733,1.0424408628090938,2.137816498163218
ExtraTrees,-3.4606803210450177,-3.9112069381183514,-3.258222159195754,-0.9221630101123597,0.24570687499547675,-1.2383475913450526,0.0,-0.16809050347002236,-0.38250499125886017,0.6741743988855968
LightGBM,-2.4156736137669754,-2.7917203954683574,-2.299118900200589,-0.5902892489839722,0.3434092129624179,-0.9762283744954733,0.16809050347002236,0.0,-0.16837541075223808,0.9353556029955962
GradientBoosting,-3.0272942449041516,-3.361221676721791,-2.6674147991448884,-0.4662379048899168,0.4741337121639748,-1.0424408628090938,0.38250499125886017,0.16837541075223808,0.0,1.345284228450201
XGBoost,-3.774432697690501,-3.911458938977087,-3.29121357157765,-1.4595458504837175,-0.23534835214673952,-2.137816498163218,-0.6741743988855968,-0.9353556029955962,-1.345284228450201,0.0
