Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.694 ± 0.154,0.760 ± 0.107,0.647 ± 0.099,0.644 ± 0.114,0.662 ± 0.212,0.692 ± 0.123,0.654 ± 0.137,0.596 ± 0.266,10.400 ± 4.980
SVM_Linear,0.684 ± 0.182,0.753 ± 0.129,0.636 ± 0.067,0.651 ± 0.114,0.659 ± 0.165,0.735 ± 0.184,0.661 ± 0.053,0.567 ± 0.257,10.400 ± 4.980
SVM_RBF,0.674 ± 0.173,0.740 ± 0.123,0.604 ± 0.067,0.601 ± 0.088,0.626 ± 0.189,0.657 ± 0.115,0.617 ± 0.103,0.545 ± 0.251,10.400 ± 4.980
LightGBM,0.625 ± 0.091,0.708 ± 0.118,0.584 ± 0.095,0.589 ± 0.086,0.609 ± 0.213,0.633 ± 0.114,0.597 ± 0.135,0.544 ± 0.193,10.400 ± 4.980
NaiveBayes,0.614 ± 0.129,0.669 ± 0.136,0.623 ± 0.057,0.588 ± 0.051,0.586 ± 0.117,0.786 ± 0.200,0.660 ± 0.125,0.389 ± 0.253,10.400 ± 4.980
XGBoost,0.601 ± 0.125,0.704 ± 0.101,0.621 ± 0.148,0.611 ± 0.134,0.622 ± 0.189,0.633 ± 0.202,0.611 ± 0.160,0.588 ± 0.190,10.400 ± 4.980
KNN,0.588 ± 0.128,0.668 ± 0.119,0.579 ± 0.081,0.556 ± 0.100,0.619 ± 0.272,0.523 ± 0.158,0.544 ± 0.159,0.589 ± 0.259,10.400 ± 4.980
GradientBoosting,0.582 ± 0.107,0.692 ± 0.082,0.523 ± 0.086,0.527 ± 0.062,0.551 ± 0.179,0.590 ± 0.138,0.544 ± 0.133,0.464 ± 0.190,10.400 ± 4.980
ExtraTrees,0.562 ± 0.160,0.679 ± 0.145,0.590 ± 0.090,0.564 ± 0.116,0.598 ± 0.245,0.590 ± 0.174,0.580 ± 0.191,0.537 ± 0.261,10.400 ± 4.980
RandomForest,0.551 ± 0.134,0.669 ± 0.127,0.586 ± 0.130,0.569 ± 0.140,0.603 ± 0.249,0.538 ± 0.224,0.548 ± 0.223,0.599 ± 0.228,10.400 ± 4.980
