,LogisticRegression,SVM_Linear,SVM_RBF,LightGBM,NaiveBayes,XGBoost,KNN,GradientBoosting,ExtraTrees,RandomForest
LogisticRegression,0.0,2.1262826371255152,1.3232784677749903,1.322067369584375,1.4155941179596971,1.1719297277539464,2.672377211298674,2.3148176300867975,1.1977805251505516,1.9214781515878914
SVM_Linear,-2.1262826371255152,0.0,-0.13694184420297,0.7576804602895378,0.5487811456543883,0.5598400539941009,2.212551451503953,1.6451928257750834,0.44301639326915687,1.2760049096961474
SVM_RBF,-1.3232784677749903,0.13694184420297,0.0,0.8267515731512775,0.7042017133381312,0.6179521930755121,2.2375756394923045,1.786664972111114,0.6122852110420963,1.3808658470559587
LightGBM,-1.322067369584375,-0.7576804602895378,-0.8267515731512775,0.0,-0.32708667311896866,-0.37939563450974473,1.0008759816222308,0.6760769168456957,-0.4608428586721292,0.4069976623867656
NaiveBayes,-1.4155941179596971,-0.5487811456543883,-0.7042017133381312,0.32708667311896866,0.0,0.12254727527143473,1.4869936682678337,1.2110477604125223,-0.11813975908457755,0.7351472806805698
XGBoost,-1.1719297277539464,-0.5598400539941009,-0.6179521930755121,0.37939563450974473,-0.12254727527143473,0.0,1.3239079502328142,1.072290367999339,-0.24655563834365424,0.8411625486457598
KNN,-2.672377211298674,-2.212551451503953,-2.2375756394923045,-1.0008759816222308,-1.4869936682678337,-1.3239079502328142,0.0,-0.46173456990948253,-1.8408932648323406,-0.8771224720165921
GradientBoosting,-2.3148176300867975,-1.6451928257750834,-1.786664972111114,-0.6760769168456957,-1.2110477604125223,-1.072290367999339,0.46173456990948253,0.0,-1.3389486197672846,-0.43157510405589705
ExtraTrees,-1.1977805251505516,-0.44301639326915687,-0.6122852110420963,0.4608428586721292,0.11813975908457755,0.24655563834365424,1.8408932648323406,1.3389486197672846,0.0,1.0268551780442816
RandomForest,-1.9214781515878914,-1.2760049096961474,-1.3808658470559587,-0.4069976623867656,-0.7351472806805698,-0.8411625486457598,0.8771224720165921,0.43157510405589705,-1.0268551780442816,0.0
