,SVM_Linear,SVM_RBF,ExtraTrees,NaiveBayes,LightGBM,XGBoost,LogisticRegression
SVM_Linear,0.0,0.9154232542123226,0.2846089931414595,2.987207527183347,3.9165243584610203,4.971305015293986,5.582973860485532
SVM_RBF,-0.9154232542123226,0.0,-0.2361646587589417,3.0378740442298113,3.6821753395571584,4.852016356476271,5.361235262792533
ExtraTrees,-0.2846089931414595,0.2361646587589417,0.0,2.642552355583471,4.467319014966957,5.442153877923149,5.383754682853469
NaiveBayes,-2.987207527183347,-3.0378740442298113,-2.642552355583471,0.0,1.4794642179847652,2.500038472579646,4.217397777269153
LightGBM,-3.9165243584610203,-3.6821753395571584,-4.467319014966957,-1.4794642179847652,0.0,1.1842828003253543,3.0910458087994677
XGBoost,-4.971305015293986,-4.852016356476271,-5.442153877923149,-2.500038472579646,-1.1842828003253543,0.0,2.5961318039813905
LogisticRegression,-5.582973860485532,-5.361235262792533,-5.383754682853469,-4.217397777269153,-3.0910458087994677,-2.5961318039813905,0.0
