,SVM_Linear,SVM_RBF,ExtraTrees,NaiveBayes,LightGBM,XGBoost,LogisticRegression
SVM_Linear,1.0,0.3599694750998964,0.7759437205613127,0.0028153853646066093,8.983474275770081e-05,6.650372661378737e-07,2.3644029302941088e-08
SVM_RBF,0.3599694750998964,1.0,0.8133049021363914,0.0023825351646142353,0.00023125226771460606,1.2221254099213214e-06,8.265478745493097e-08
ExtraTrees,0.7759437205613127,0.8133049021363914,1.0,0.008228374270505118,7.920597097474378e-06,5.264017262410177e-08,7.294790835157391e-08
NaiveBayes,0.0028153853646066093,0.0023825351646142353,0.008228374270505118,1.0,0.13901628783721076,0.012417981998537738,2.4713779380804085e-05
LightGBM,8.983474275770081e-05,0.00023125226771460606,7.920597097474378e-06,0.13901628783721076,1.0,0.23630113498635708,0.001994528607507861
XGBoost,6.650372661378737e-07,1.2221254099213214e-06,5.264017262410177e-08,0.012417981998537738,0.23630113498635708,1.0,0.009427989161412003
LogisticRegression,2.3644029302941088e-08,8.265478745493097e-08,7.294790835157391e-08,2.4713779380804085e-05,0.001994528607507861,0.009427989161412003,1.0
