Model_A,Model_B,AUC_A,AUC_B,ΔAUC,Z_stat,p_value,Significant (α=0.05),Significant (α=0.01),p_value_bonferroni,Significant Bonf. (α=0.05)
SVM_Linear,LogisticRegression,0.7019066403681788,0.4919132149901382,0.20999342537804067,5.582973860485532,2.3644029302941088e-08,✓,✓,4.965246153617629e-07,✓
ExtraTrees,XGBoost,0.6979289940828401,0.5909598948060486,0.10696909927679155,5.442153877923149,5.264017262410177e-08,✓,✓,1.1054436251061373e-06,✓
ExtraTrees,LogisticRegression,0.6979289940828401,0.4919132149901382,0.20601577909270197,5.383754682853469,7.294790835157391e-08,✓,✓,1.5319060753830522e-06,✓
SVM_RBF,LogisticRegression,0.6951019066403681,0.4919132149901382,0.2031886916502299,5.361235262792533,8.265478745493097e-08,✓,✓,1.7357505365535503e-06,✓
SVM_Linear,XGBoost,0.7019066403681788,0.5909598948060486,0.11094674556213024,4.971305015293986,6.650372661378737e-07,✓,✓,1.3965782588895349e-05,✓
SVM_RBF,XGBoost,0.6951019066403681,0.5909598948060486,0.10414201183431948,4.852016356476271,1.2221254099213214e-06,✓,✓,2.566463360834775e-05,✓
ExtraTrees,LightGBM,0.6979289940828401,0.6121137409598949,0.08581525312294525,4.467319014966957,7.920597097474378e-06,✓,✓,0.00016633253904696195,✓
NaiveBayes,LogisticRegression,0.6502301117685734,0.4919132149901382,0.1583168967784352,4.217397777269153,2.4713779380804085e-05,✓,✓,0.0005189893669968858,✓
SVM_Linear,LightGBM,0.7019066403681788,0.6121137409598949,0.08979289940828394,3.9165243584610203,8.983474275770081e-05,✓,✓,0.001886529597911717,✓
SVM_RBF,LightGBM,0.6951019066403681,0.6121137409598949,0.08298816568047318,3.6821753395571584,0.00023125226771460606,✓,✓,0.004856297622006727,✓
LightGBM,LogisticRegression,0.6121137409598949,0.4919132149901382,0.12020052596975672,3.0910458087994677,0.001994528607507861,✓,✓,0.041885100757665085,✓
SVM_RBF,NaiveBayes,0.6951019066403681,0.6502301117685734,0.04487179487179471,3.0378740442298113,0.0023825351646142353,✓,✓,0.05003323845689894,✗
SVM_Linear,NaiveBayes,0.7019066403681788,0.6502301117685734,0.051676528599605476,2.987207527183347,0.0028153853646066093,✓,✓,0.0591230926567388,✗
ExtraTrees,NaiveBayes,0.6979289940828401,0.6502301117685734,0.04769888231426678,2.642552355583471,0.008228374270505118,✓,✓,0.17279585968060748,✗
XGBoost,LogisticRegression,0.5909598948060486,0.4919132149901382,0.09904667981591042,2.5961318039813905,0.009427989161412003,✓,✓,0.19798777238965207,✗
NaiveBayes,XGBoost,0.6502301117685734,0.5909598948060486,0.05927021696252477,2.500038472579646,0.012417981998537738,✓,✗,0.2607776219692925,✗
NaiveBayes,LightGBM,0.6502301117685734,0.6121137409598949,0.03811637080867847,1.4794642179847652,0.13901628783721076,✗,✗,1.0,✗
LightGBM,XGBoost,0.6121137409598949,0.5909598948060486,0.0211538461538463,1.1842828003253543,0.23630113498635708,✗,✗,1.0,✗
SVM_Linear,SVM_RBF,0.7019066403681788,0.6951019066403681,0.006804733727810763,0.9154232542123226,0.3599694750998964,✗,✗,1.0,✗
SVM_Linear,ExtraTrees,0.7019066403681788,0.6979289940828401,0.0039776462853386985,0.2846089931414595,0.7759437205613127,✗,✗,1.0,✗
SVM_RBF,ExtraTrees,0.6951019066403681,0.6979289940828401,-0.002827087442472065,-0.2361646587589417,0.8133049021363914,✗,✗,1.0,✗
