Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_Linear,0.744 ± 0.157,0.765 ± 0.193,0.670 ± 0.149,0.669 ± 0.121,0.683 ± 0.260,0.627 ± 0.245,0.627 ± 0.218,0.710 ± 0.283,6.000 ± 0.000
SVM_RBF,0.744 ± 0.147,0.770 ± 0.184,0.681 ± 0.107,0.684 ± 0.122,0.725 ± 0.267,0.584 ± 0.250,0.618 ± 0.224,0.784 ± 0.179,6.000 ± 0.000
ExtraTrees,0.734 ± 0.154,0.769 ± 0.187,0.665 ± 0.085,0.666 ± 0.096,0.721 ± 0.268,0.528 ± 0.213,0.584 ± 0.197,0.805 ± 0.207,6.000 ± 0.000
NaiveBayes,0.717 ± 0.121,0.747 ± 0.180,0.643 ± 0.117,0.653 ± 0.131,0.695 ± 0.271,0.539 ± 0.264,0.579 ± 0.227,0.767 ± 0.178,6.000 ± 0.000
LightGBM,0.637 ± 0.142,0.703 ± 0.170,0.628 ± 0.081,0.614 ± 0.106,0.639 ± 0.233,0.558 ± 0.227,0.573 ± 0.202,0.670 ± 0.230,6.000 ± 0.000
XGBoost,0.609 ± 0.129,0.686 ± 0.170,0.569 ± 0.098,0.567 ± 0.109,0.584 ± 0.285,0.438 ± 0.266,0.468 ± 0.232,0.696 ± 0.242,6.000 ± 0.000
LogisticRegression,0.485 ± 0.100,0.546 ± 0.157,0.478 ± 0.181,0.481 ± 0.064,0.437 ± 0.234,0.796 ± 0.372,0.547 ± 0.274,0.167 ± 0.362,6.000 ± 0.000
