,LogisticRegression,SVM_Linear,SVM_RBF,RandomForest,KNN,GradientBoosting,ExtraTrees,XGBoost,NaiveBayes,LightGBM
LogisticRegression,1.0,0.6781812369206497,0.9753659446545951,0.04476228787420369,0.04217943594711507,0.029070284407445288,0.012278267752678389,0.0027692567307015348,0.06260556891519052,0.001901327736361823
SVM_Linear,0.6781812369206497,1.0,0.6091934253582876,0.05997786611157143,0.060594460653895836,0.04261014943220303,0.010440128553435488,0.0042676422165663615,0.06926568655033945,0.002404563801528521
SVM_RBF,0.9753659446545951,0.6091934253582876,1.0,0.03817324743996946,0.03627103009971826,0.02643581423337248,0.004495882531481077,0.0021359970531922086,0.05517760143201593,0.0019037249798183572
RandomForest,0.04476228787420369,0.05997786611157143,0.03817324743996946,1.0,0.8727256492095414,0.5407836377413612,0.7503945327024311,0.10459001538976867,0.7165824627230754,0.22278936592811394
KNN,0.04217943594711507,0.060594460653895836,0.03627103009971826,0.8727256492095414,1.0,0.9012259658232873,0.9353712200625016,0.4724579902299464,0.7951931227187395,0.3598695421098238
GradientBoosting,0.029070284407445288,0.04261014943220303,0.02643581423337248,0.5407836377413612,0.9012259658232873,1.0,0.9480068287385924,0.28236586131335295,0.8660666717862453,0.4016207419567791
ExtraTrees,0.012278267752678389,0.010440128553435488,0.004495882531481077,0.7503945327024311,0.9353712200625016,0.9480068287385924,1.0,0.3208452066527109,0.8250591420983117,0.3000851785459777
XGBoost,0.0027692567307015348,0.0042676422165663615,0.0021359970531922086,0.10459001538976867,0.4724579902299464,0.28236586131335295,0.3208452066527109,1.0,0.7856867481296395,0.7246720113161444
NaiveBayes,0.06260556891519052,0.06926568655033945,0.05517760143201593,0.7165824627230754,0.7951931227187395,0.8660666717862453,0.8250591420983117,0.7856867481296395,1.0,0.5933780853796227
LightGBM,0.001901327736361823,0.002404563801528521,0.0019037249798183572,0.22278936592811394,0.3598695421098238,0.4016207419567791,0.3000851785459777,0.7246720113161444,0.5933780853796227,1.0
