,Morph_Compacity,Morph_Compactness1,Morph_Compactness2,Morph_SphericalDisproportion,Morph_Sphericity,Morph_Asphericity,IB_IntensitySkewness,IH_IntensityHistogramSkewness_Intensity,Morph_Volume_cm3,Morph_ApproximateVolume_cm3,Morph_voxelsCounting_vx,Morph_SurfaceArea_cm2
Morph_Compacity,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.05651965412339462,-0.056534640111495754,0.47661151188381046,0.4794678366987061,0.4794678366987061,0.5513120232582536
Morph_Compactness1,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.05651965412339462,0.056534640111495754,-0.47661151188381046,-0.4794678366987061,-0.4794678366987061,-0.5513120232582536
Morph_Compactness2,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.05651965412339462,0.056534640111495754,-0.47661151188381046,-0.4794678366987061,-0.4794678366987061,-0.5513120232582536
Morph_SphericalDisproportion,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.05651965412339462,-0.056534640111495754,0.47661151188381046,0.4794678366987061,0.4794678366987061,0.5513120232582536
Morph_Sphericity,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.05651965412339462,0.056534640111495754,-0.47661151188381046,-0.4794678366987061,-0.4794678366987061,-0.5513120232582536
Morph_Asphericity,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.05651965412339462,-0.056534640111495754,0.47661151188381046,0.4794678366987061,0.4794678366987061,0.5513120232582536
IB_IntensitySkewness,-0.05651965412339462,0.05651965412339462,0.05651965412339462,-0.05651965412339462,0.05651965412339462,-0.05651965412339462,1.0,0.9981941884338144,0.037573689051469836,0.03726342726161618,0.03726342726161618,0.03226483238172309
IH_IntensityHistogramSkewness_Intensity,-0.056534640111495754,0.056534640111495754,0.056534640111495754,-0.056534640111495754,0.056534640111495754,-0.056534640111495754,0.9981941884338144,1.0,0.030376654784057974,0.03004003215198457,0.03004003215198457,0.02525138995039638
Morph_Volume_cm3,0.47661151188381046,-0.47661151188381046,-0.47661151188381046,0.47661151188381046,-0.47661151188381046,0.47661151188381046,0.037573689051469836,0.030376654784057974,1.0,0.9999250685505554,0.9999250685505554,0.9931307848381421
Morph_ApproximateVolume_cm3,0.4794678366987061,-0.4794678366987061,-0.4794678366987061,0.4794678366987061,-0.4794678366987061,0.4794678366987061,0.03726342726161618,0.03004003215198457,0.9999250685505554,1.0,1.0,0.9935352863836403
Morph_voxelsCounting_vx,0.4794678366987061,-0.4794678366987061,-0.4794678366987061,0.4794678366987061,-0.4794678366987061,0.4794678366987061,0.03726342726161618,0.03004003215198457,0.9999250685505554,1.0,1.0,0.9935352863836403
Morph_SurfaceArea_cm2,0.5513120232582536,-0.5513120232582536,-0.5513120232582536,0.5513120232582536,-0.5513120232582536,0.5513120232582536,0.03226483238172309,0.02525138995039638,0.9931307848381421,0.9935352863836403,0.9935352863836403,1.0
