Triple_Tag,Dataset_A,Dataset_B,Dataset_C,Experiment_ID,FS_METHOD,Best_Model_No_SMOTE,Best_Model_SMOTE,Run_Name_No_SMOTE,Run_Name_SMOTE,Mean_AUC_No_SMOTE,Mean_AUC_SMOTE,Delta_Mean_AUC_SMOTE_minus_No_SMOTE,Std_AUC_No_SMOTE,Std_AUC_SMOTE,Delta_Std_AUC_SMOTE_minus_No_SMOTE,Pooled_AUC_No_SMOTE,Pooled_AUC_SMOTE,Delta_Pooled_AUC_SMOTE_minus_No_SMOTE,Mean_PR_AUC_No_SMOTE,Mean_PR_AUC_SMOTE,Delta_Mean_PR_AUC_SMOTE_minus_No_SMOTE,Pooled_PR_AUC_No_SMOTE,Pooled_PR_AUC_SMOTE,Delta_Pooled_PR_AUC_SMOTE_minus_No_SMOTE,Mean_Bal_Acc_No_SMOTE,Mean_Bal_Acc_SMOTE,Delta_Mean_Bal_Acc_SMOTE_minus_No_SMOTE,Pooled_Bal_Acc_No_SMOTE,Pooled_Bal_Acc_SMOTE,Delta_Pooled_Bal_Acc_SMOTE_minus_No_SMOTE,Mean_F1_No_SMOTE,Mean_F1_SMOTE,Delta_Mean_F1_SMOTE_minus_No_SMOTE,Pooled_F1_No_SMOTE,Pooled_F1_SMOTE,Delta_Pooled_F1_SMOTE_minus_No_SMOTE,Avg_Features_No_SMOTE,Avg_Features_SMOTE,Delta_Avg_Features_SMOTE_minus_No_SMOTE,N_Unique_Selected_Features_No_SMOTE,N_Unique_Selected_Features_SMOTE,Delta_N_Unique_Selected_Features_SMOTE_minus_No_SMOTE
ADC_Post2_T2,ADC,Post2,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,LogisticRegression,LogisticRegression,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.7454970184874491,0.7385543634108227,-0.006942655076626392,0.0642667015419769,0.0737015232007145,0.009434821658737602,0.6896875,0.6896875,0.0,0.8072871254937825,0.8029564521658792,-0.004330673327903267,0.7403624415696097,0.744059081639758,0.0036966400701482494,0.6962466772993089,0.6845800106326422,-0.011666666666666714,0.6646875,0.6590625,-0.005624999999999991,0.6712202729044834,0.6489980506822611,-0.022222222222222254,0.6666666666666666,0.6491228070175439,-0.01754385964912275,13.2,13.2,0.0,54,54,0
ADC_Pre_T2,ADC,Pre,T2,corr_mrmr_auto_k,corr_mrmr,XGBoost,LightGBM,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6766945025557466,0.6934676337307917,0.016773131175045086,0.0715799983962585,0.0982448501312553,0.026664851734996803,0.5846875,0.6050000000000001,0.020312500000000067,0.7389574436668807,0.7484258155634047,0.009468371896524053,0.6594849846354881,0.6916361021799446,0.03215111754445654,0.6149700007594744,0.5919755828966355,-0.022994417862838845,0.568125,0.5634375,-0.004687499999999956,0.6351618037135279,0.5698326301906864,-0.06532917352284151,0.6363636363636364,0.5833333333333334,-0.05303030303030298,15.6,15.6,0.0,61,61,0
ADC_Pre_T2,ADC,Pre,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,XGBoost,LightGBM,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.7624075454936698,0.7671242500189869,0.004716704525317028,0.1152148437171988,0.1146206119921728,-0.0005942317250259982,0.665625,0.72,0.05437499999999995,0.8213414604480235,0.8015369954572993,-0.01980446499072419,0.7181131578024202,0.7783227859224924,0.060209628120072134,0.6198902559428875,0.6676892990050886,0.04779904306220106,0.5825,0.6481250000000001,0.06562500000000004,0.6340992340992341,0.6773593073593073,0.043260073260073195,0.6299212598425197,0.6774193548387096,0.047498094996189955,13.2,13.2,0.0,35,35,0
ADC_Pre_T2,ADC,Pre,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,LogisticRegression,XGBoost,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.7133166133883837,0.7343729732964184,0.021056359908034672,0.0668063267231617,0.0778942388490436,0.011087912125881907,0.6737500000000001,0.6528125,-0.020937500000000053,0.7729798906380031,0.8109217320899136,0.037941841451910485,0.7034032425936037,0.729139911984668,0.025736669391064337,0.6405648591174907,0.6217124250018986,-0.01885243411559212,0.6078125,0.5825,-0.02531249999999996,0.5812075941487705,0.6212575031165736,0.04004990896780303,0.5892857142857143,0.6299212598425197,0.040635545556805375,13.6,13.6,0.0,52,52,0
Post1_Post2_Pre,Post1,Post2,Pre,corr_mrmr_auto_k,corr_mrmr,LogisticRegression,SVM_Linear,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6740919701213819,0.6883053221288515,0.014213352007469648,0.1978764963722248,0.1918558433885387,-0.006020652983686092,0.6310096153846153,0.6090745192307692,-0.021935096153846145,0.7757094843493879,0.7953494817544567,0.019639997405068832,0.7171894049994153,0.7160466866662801,-0.0011427183331351731,0.6226423902894491,0.577266573295985,-0.04537581699346416,0.5697115384615384,0.5270432692307692,-0.042668269230769273,0.614857294269059,0.5424915824915826,-0.07236571177747642,0.5901639344262295,0.5454545454545454,-0.04470938897168408,16.0,16.0,0.0,49,49,0
Post1_Post2_Pre,Post1,Post2,Pre,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,XGBoost,ExtraTrees,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.6799221910986617,0.6974509803921569,0.017528789293495217,0.1094931382182851,0.0704356860453774,-0.03905745217290771,0.6622596153846154,0.6470853365384616,-0.015174278846153855,0.7280804145880068,0.780300625296463,0.05222021070845628,0.7594676375197561,0.7510668479945075,-0.008400789525248586,0.6157819794584499,0.6208823529411764,0.005100373482726517,0.6147836538461539,0.5877403846153846,-0.027043269230769273,0.6067424242424242,0.6139063875905981,0.0071639633481739295,0.6615384615384615,0.6412213740458015,-0.020317087492660035,10.4,10.4,0.0,33,33,0
Post1_Post2_Pre,Post1,Post2,Pre,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,SVM_Linear,SVM_Linear,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.7278384687208217,0.7531372549019608,0.02529878618113912,0.1234733745282738,0.1257709957510366,0.002297621222762794,0.6778846153846153,0.7145432692307693,0.036658653846153966,0.8021005943898049,0.8165204529848851,0.014419858595080215,0.7613779403346561,0.7934181365468993,0.03204019621224319,0.6405345471521942,0.6972222222222222,0.05668767507002803,0.6129807692307692,0.6856971153846154,0.07271634615384626,0.6415565796210958,0.6635341669824427,0.021977587361346917,0.6666666666666666,0.6890756302521008,0.022408963585434205,11.6,11.6,0.0,47,47,0
Post1_Post2_T2,Post1,Post2,T2,corr_mrmr_auto_k,corr_mrmr,RandomForest,ExtraTrees,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6331644880174292,0.6407080610021787,0.0075435729847495026,0.0743435928825576,0.0656328306992385,-0.008710762183319093,0.6150841346153846,0.6141826923076923,-0.0009014423076922906,0.7376806300504946,0.745645475929464,0.007964845878969395,0.6968138925195995,0.6974960595467149,0.0006821670271154323,0.6187698412698412,0.6053104575163399,-0.013459383753501308,0.6105769230769231,0.5985576923076923,-0.012019230769230838,0.5984247046983421,0.564324942791762,-0.03409976190658004,0.64,0.6050420168067226,-0.034957983193277364,13.6,13.6,0.0,52,52,0
Post1_Post2_T2,Post1,Post2,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,XGBoost,LightGBM,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.7029761904761905,0.6912636165577342,-0.01171257391845637,0.075144551835612,0.0888245580787986,0.013680006243186604,0.6577524038461537,0.6316105769230769,-0.026141826923076872,0.7963894634098889,0.735420758188857,-0.06096870522103193,0.7183021084249137,0.6459452901143555,-0.07235681831055818,0.6064682539682539,0.6562114845938375,0.04974323062558361,0.5895432692307692,0.6316105769230769,0.04206730769230771,0.5972934186556478,0.6090775890775891,0.011784170421941353,0.6356589147286822,0.6446280991735537,0.008969184444871492,8.8,8.8,0.0,27,27,0
Post1_Post2_T2,Post1,Post2,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,NaiveBayes,NaiveBayes,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.7353104575163397,0.7291433239962651,-0.006167133520074586,0.0569725200619209,0.061316529987458,0.004344009925537101,0.7064302884615385,0.7034254807692307,-0.0030048076923078204,0.738669989813624,0.7304356424110925,-0.008234347402531483,0.7656049578048236,0.7613950991494508,-0.004209858655372822,0.616704014939309,0.6120821661998133,-0.004621848739495782,0.6129807692307692,0.6069711538461539,-0.006009615384615308,0.613030303030303,0.5995348837209302,-0.013495419309372814,0.6666666666666666,0.6511627906976745,-0.015503875968992165,10.0,10.0,0.0,38,38,0
Post1_Pre_T2,Post1,Pre,T2,corr_mrmr_auto_k,corr_mrmr,SVM_Linear,LogisticRegression,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6640102707749767,0.6601571739807035,-0.0038530967942731476,0.1478468905506245,0.1070442770856749,-0.040802613464949594,0.5793269230769231,0.6159855769230769,0.036658653846153744,0.7040327850252616,0.6979912255857308,-0.006041559439530775,0.6249390423715075,0.6640832458096944,0.03914420343818681,0.5690849673202615,0.6056069094304389,0.03652194211017745,0.5342548076923077,0.5775240384615384,0.043269230769230727,0.5968137254901962,0.5890909090909091,-0.007722816399287069,0.6338028169014085,0.6016260162601627,-0.03217680064124584,12.8,12.8,0.0,44,44,0
Post1_Pre_T2,Post1,Pre,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_Linear,SVM_Linear,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.6681473700591347,0.6633800186741363,-0.004767351384998397,0.1191354538367305,0.1322237205886631,0.0130882667519326,0.6304086538461537,0.6601562499999999,0.029747596153846145,0.7155818415887569,0.7126163401478054,-0.0029655014409515346,0.6718509085994214,0.6998598947839295,0.02800898618450809,0.5524276377217554,0.6129668534080299,0.06053921568627452,0.5612980769230769,0.6201923076923077,0.05889423076923084,0.5919164555774462,0.6036866359447005,0.011770180367254302,0.6524822695035462,0.6451612903225806,-0.007320979180965526,9.6,9.6,0.0,31,31,0
Post1_Pre_T2,Post1,Pre,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,NaiveBayes,NaiveBayes,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.682120292561469,0.6762278244631185,-0.005892468098350534,0.0740432566626414,0.0842061223407044,0.010162865678063002,0.6947115384615385,0.6947115384615385,0.0,0.7015696195510753,0.7021623378669772,0.0005927183159019078,0.7444881509971175,0.7510638966957752,0.006575745698657709,0.5908870214752568,0.5808870214752568,-0.010000000000000009,0.6231971153846154,0.6153846153846154,-0.0078125,0.6154954954954956,0.5954954954954956,-0.020000000000000018,0.7,0.6906474820143885,-0.00935251798561143,11.6,11.6,0.0,42,42,0
Post2_Pre_T2,Post2,Pre,T2,corr_mrmr_auto_k,corr_mrmr,RandomForest,XGBoost,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6805765993265993,0.6692494388327722,-0.011327160493827093,0.1503271525712098,0.1009747980458079,-0.04935235452540189,0.620414201183432,0.6162721893491124,-0.004142011834319614,0.7712857710145492,0.7349385757284969,-0.03634719528605235,0.7233429692538447,0.6711957568798566,-0.05214721237398812,0.5746212121212121,0.5886489898989898,0.01402777777777775,0.5480769230769231,0.5615384615384615,0.013461538461538414,0.5997997997997998,0.5932496811753778,-0.006550118624422008,0.6060606060606061,0.5984251968503937,-0.0076354092102123294,12.8,12.8,0.0,42,42,0
Post2_Pre_T2,Post2,Pre,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_RBF,SVM_RBF,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.7353759820426488,0.7428591470258137,0.007483164983164925,0.1757874111246118,0.1612683498246359,-0.014519061299975905,0.7065088757396449,0.7020710059171598,-0.004437869822485174,0.8067359802726835,0.8032133840168513,-0.0035225962558321777,0.782677388978464,0.7354347971321076,-0.047242591846356374,0.6676010101010101,0.6818434343434342,0.014242424242424057,0.6365384615384615,0.6576923076923077,0.02115384615384619,0.674328342851263,0.6714567961684642,-0.0028715466827987646,0.676923076923077,0.6825396825396826,0.005616605616605597,13.2,13.2,0.0,42,42,0
Post2_Pre_T2,Post2,Pre,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,NaiveBayes,NaiveBayes,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.685513468013468,0.7012752525252526,0.01576178451178456,0.1089625067903789,0.0913787705720204,-0.0175837362183585,0.6576923076923077,0.6739644970414201,0.016272189349112454,0.7232332659013544,0.7431105006383352,0.019877234736980776,0.737717075011856,0.7468770904763045,0.009160015464448445,0.6098358585858585,0.6255934343434344,0.01575757575757586,0.6096153846153847,0.6269230769230769,0.017307692307692246,0.6719225219225219,0.691535657325131,0.019613135402609116,0.6857142857142857,0.7,0.014285714285714235,11.6,11.6,0.0,45,45,0
