Triple_Tag,Dataset_A,Dataset_B,Dataset_C,Experiment_ID,FS_METHOD,Best_Model_No_SMOTE,Best_Model_SMOTE,Mean_AUC_No_SMOTE,Mean_AUC_SMOTE,Delta_Mean_AUC_SMOTE_minus_No_SMOTE,Pooled_AUC_No_SMOTE,Pooled_AUC_SMOTE,Delta_Pooled_AUC_SMOTE_minus_No_SMOTE,Mean_PR_AUC_No_SMOTE,Mean_PR_AUC_SMOTE,Delta_Mean_PR_AUC_SMOTE_minus_No_SMOTE,Mean_Bal_Acc_No_SMOTE,Mean_Bal_Acc_SMOTE,Delta_Mean_Bal_Acc_SMOTE_minus_No_SMOTE,Avg_Features_No_SMOTE,Avg_Features_SMOTE,Run_Name_No_SMOTE,Run_Name_SMOTE
ADC_Post1_Post2,ADC,Post1,Post2,corr_mrmr_auto_k,corr_mrmr,LogisticRegression,LogisticRegression,0.7773015873015873,0.7868253968253968,0.00952380952380949,0.7565079365079365,0.7660317460317461,0.009523809523809601,0.8283830077799191,0.8292216714668801,0.0008386636869609498,0.6887698412698413,0.6944444444444444,0.00567460317460311,10.4,10.4,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
ADC_Post1_Post2,ADC,Post1,Post2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_Linear,LogisticRegression,0.7951587301587301,0.7971031746031746,0.0019444444444445264,0.7587301587301587,0.7904761904761903,0.03174603174603163,0.8343374787537441,0.8365358301840746,0.0021983514303305363,0.7360714285714286,0.7261904761904763,-0.009880952380952324,7.6,7.6,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote
ADC_Post1_Post2,ADC,Post1,Post2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,NaiveBayes,SVM_RBF,0.7864285714285714,0.7837698412698414,-0.0026587301587299716,0.72,0.76,0.040000000000000036,0.8313475418760955,0.8383440077417299,0.006996465865634405,0.6870238095238095,0.7244047619047619,0.037380952380952404,7.6,7.6,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote
ADC_Post1_Pre,ADC,Post1,Pre,corr_mrmr_auto_k,corr_mrmr,SVM_Linear,SVM_Linear,0.7133730158730158,0.7189285714285714,0.005555555555555536,0.6479365079365079,0.6771428571428572,0.029206349206349236,0.7951707587150831,0.7951901328260466,1.9374110963421565e-05,0.6092460317460316,0.6229761904761906,0.013730158730158926,12.0,12.0,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
ADC_Post1_Pre,ADC,Post1,Pre,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_Linear,SVM_Linear,0.8364682539682541,0.8234920634920634,-0.012976190476190697,0.7987301587301587,0.8012698412698414,0.0025396825396826195,0.8786296727070168,0.8680744829673033,-0.010555189739713478,0.7353571428571428,0.7233333333333334,-0.012023809523809437,9.6,9.6,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote
ADC_Post1_Pre,ADC,Post1,Pre,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,SVM_Linear,LogisticRegression,0.7727777777777777,0.7697619047619048,-0.0030158730158729163,0.7174603174603174,0.7498412698412698,0.0323809523809524,0.817906758612604,0.8237562820420763,0.005849523429472314,0.7244444444444446,0.6850396825396826,-0.03940476190476194,8.8,8.8,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote
ADC_Post1_T2,ADC,Post1,T2,corr_mrmr_auto_k,corr_mrmr,KNN,ExtraTrees,0.7320833333333333,0.7224999999999999,-0.009583333333333388,0.7323809523809524,0.7079365079365079,-0.02444444444444449,0.7645749969558018,0.7568002075463391,-0.007774789409462635,0.6836111111111111,0.6967063492063492,0.01309523809523816,11.6,11.6,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
ADC_Post1_T2,ADC,Post1,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,KNN,LogisticRegression,0.7602579365079365,0.753968253968254,-0.0062896825396825395,0.7174603174603175,0.7653968253968254,0.047936507936507944,0.811952314629105,0.8279338086574111,0.015981494028306065,0.652063492063492,0.7080952380952382,0.05603174603174621,5.6,5.6,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote
ADC_Post1_T2,ADC,Post1,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,GradientBoosting,SVM_RBF,0.7560912698412698,0.7481746031746032,-0.007916666666666683,0.7179365079365079,0.7298412698412697,0.011904761904761862,0.8262035352300785,0.8172677876914202,-0.008935747538658334,0.6609126984126984,0.7273412698412699,0.0664285714285715,5.6,5.6,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote
ADC_Post2_Pre,ADC,Post2,Pre,corr_mrmr_auto_k,corr_mrmr,ExtraTrees,ExtraTrees,0.7091610914338187,0.6584897160256011,-0.050671375408217534,0.5925000000000001,0.56625,-0.026250000000000107,0.7867957078435247,0.7598029933643975,-0.02699271447912721,0.6141799574694311,0.5931842864737601,-0.020995670995671012,11.2,11.2,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
ADC_Post2_Pre,ADC,Post2,Pre,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,ExtraTrees,SVM_RBF,0.7788934572427395,0.7859612760091229,0.007067818766383405,0.7071875,0.7325,0.02531250000000007,0.8408960819280065,0.8372627570419109,-0.003633324886095579,0.6845872256398572,0.6700377838535733,-0.014549441786283923,10.4,10.4,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote
ADC_Post2_Pre,ADC,Post2,Pre,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,LogisticRegression,LogisticRegression,0.7896945646945647,0.7928289387380296,0.003134374043464949,0.7165624999999999,0.7215625,0.0050000000000001155,0.8275908672238044,0.8314428279565702,0.0038519607327658356,0.7055249867091973,0.7138583200425306,0.008333333333333304,14.4,14.4,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote
ADC_Post2_T2,ADC,Post2,T2,corr_mrmr_auto_k,corr_mrmr,ExtraTrees,ExtraTrees,0.6787903643406035,0.6587988681529351,-0.01999149618766838,0.5765625,0.5759375,-0.0006249999999999867,0.7873229403471698,0.7766337768983517,-0.010689163448818095,0.5763987620566569,0.5947826004404952,0.01838383838383839,12.8,12.8,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
ADC_Post2_T2,ADC,Post2,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_Linear,SVM_RBF,0.8337354750512646,0.8315906271647899,-0.002144847886474621,0.755625,0.7512500000000001,-0.004374999999999907,0.8660563562242178,0.8748819478123838,0.008825591588165982,0.7390928077770182,0.6999261411103517,-0.03916666666666657,10.4,10.4,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote
