metric,mean,std,min,max,pooled
AUC,0.7281547619047618,0.12099990473688019,0.5243055555555556,0.8680555555555555,0.701111111111111
PR_AUC,0.7527183048903525,0.16000617121245114,0.5398584697036709,0.9218093936139049,0.7367939850728631
Accuracy,0.6228431372549019,0.08538061874729024,0.5,0.7058823529411765,0.6106194690265486
Bal_Accuracy,0.6334920634920634,0.06137984614450909,0.5416666666666666,0.7083333333333333,0.6177777777777778
F1_Score,0.6102240896358543,0.14040125517944196,0.4166666666666667,0.7857142857142857,0.6140350877192983
Precision,0.6992063492063492,0.11403190511531308,0.5555555555555556,0.8333333333333334,0.6862745098039216
Recall,0.5893650793650793,0.20775322104997304,0.2777777777777778,0.8,0.5555555555555556
