,KNN,LogisticRegression,RandomForest,LightGBM,SVM_Linear,NaiveBayes,GradientBoosting,SVM_RBF,ExtraTrees,XGBoost
KNN,0.0,0.9919574483236021,1.275133970609422,1.9223279184395117,1.7322495562270446,1.6793322308415257,2.559676515957315,1.8636584127988094,1.342802722474705,1.9529140256935293
LogisticRegression,-0.9919574483236021,0.0,0.2873702961742552,1.303528987287549,2.0849493366290295,1.6037287697256486,1.7795135976563283,1.941097122322042,0.47390253661328924,1.0740945658350742
RandomForest,-1.275133970609422,-0.2873702961742552,0.0,1.0707516975116056,0.3421653807258673,0.6666168671803141,1.5774578931087546,0.5203315341077681,0.11695531608070706,1.284735114532463
LightGBM,-1.9223279184395117,-1.303528987287549,-1.0707516975116056,0.0,-0.7274377406255893,-0.3142165999056985,0.07846929130138808,-0.5799580136222492,-1.1305735711977443,-0.31100967523545514
SVM_Linear,-1.7322495562270446,-2.0849493366290295,-0.3421653807258673,0.7274377406255893,0.0,0.5681162954857536,1.106516531426057,0.6317928215916263,-0.30333739384575814,0.4674772197863037
NaiveBayes,-1.6793322308415257,-1.6037287697256486,-0.6666168671803141,0.3142165999056985,-0.5681162954857536,0.0,0.47656904542312567,-0.3164643509224436,-0.6076697275925499,0.08012102638647978
GradientBoosting,-2.559676515957315,-1.7795135976563283,-1.5774578931087546,-0.07846929130138808,-1.106516531426057,-0.47656904542312567,0.0,-0.908741026099156,-1.1623962844607845,-0.46835426128768576
SVM_RBF,-1.8636584127988094,-1.941097122322042,-0.5203315341077681,0.5799580136222492,-0.6317928215916263,0.3164643509224436,0.908741026099156,0.0,-0.5343845356494713,0.2974423564925116
ExtraTrees,-1.342802722474705,-0.47390253661328924,-0.11695531608070706,1.1305735711977443,0.30333739384575814,0.6076697275925499,1.1623962844607845,0.5343845356494713,0.0,0.7362088844278998
XGBoost,-1.9529140256935293,-1.0740945658350742,-1.284735114532463,0.31100967523545514,-0.4674772197863037,-0.08012102638647978,0.46835426128768576,-0.2974423564925116,-0.7362088844278998,0.0
