,KNN,LogisticRegression,RandomForest,LightGBM,SVM_Linear,NaiveBayes,GradientBoosting,SVM_RBF,ExtraTrees,XGBoost
KNN,1.0,0.321218283110809,0.2022618273444975,0.054564509182481985,0.0832291391104264,0.0930873128211613,0.010476963453417278,0.062369689027228274,0.1793358616260512,0.05082978345669431
LogisticRegression,0.321218283110809,1.0,0.7738288026505542,0.19239422670593498,0.03707389959436363,0.10877385144719877,0.0751555976076256,0.052246498055289116,0.6355694102678415,0.2827802998734107
RandomForest,0.2022618273444975,0.7738288026505542,1.0,0.284281090792437,0.7322264367106555,0.505016892315173,0.11469020344216084,0.6028325207068013,0.9068954629926743,0.19888486317184906
LightGBM,0.054564509182481985,0.19239422670593498,0.284281090792437,1.0,0.46695784193489354,0.7533565358104701,0.9374547568726063,0.5619429320708575,0.2582346164705883,0.7557932663673791
SVM_Linear,0.0832291391104264,0.03707389959436363,0.7322264367106555,0.46695784193489354,1.0,0.5699560034790557,0.2685030127382587,0.5275222649093271,0.7616327516145853,0.6401584865986616
NaiveBayes,0.0930873128211613,0.10877385144719877,0.505016892315173,0.7533565358104701,0.5699560034790557,1.0,0.6336690301191459,0.7516500796176182,0.54340654466452,0.9361409998674066
GradientBoosting,0.010476963453417278,0.0751555976076256,0.11469020344216084,0.9374547568726063,0.2685030127382587,0.6336690301191459,1.0,0.3634868428134216,0.2450745318444204,0.6395312709834426
SVM_RBF,0.062369689027228274,0.052246498055289116,0.6028325207068013,0.5619429320708575,0.5275222649093271,0.7516500796176182,0.3634868428134216,1.0,0.5930755159414485,0.7661288102845739
ExtraTrees,0.1793358616260512,0.6355694102678415,0.9068954629926743,0.2582346164705883,0.7616327516145853,0.54340654466452,0.2450745318444204,0.5930755159414485,1.0,0.46160358625842557
XGBoost,0.05082978345669431,0.2827802998734107,0.19888486317184906,0.7557932663673791,0.6401584865986616,0.9361409998674066,0.6395312709834426,0.7661288102845739,0.46160358625842557,1.0
