Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
KNN,0.667 ± 0.138,0.682 ± 0.192,0.596 ± 0.101,0.608 ± 0.085,0.587 ± 0.150,0.774 ± 0.234,0.639 ± 0.145,0.442 ± 0.124,6.000 ± 2.000
LogisticRegression,0.649 ± 0.135,0.695 ± 0.193,0.597 ± 0.098,0.576 ± 0.126,0.603 ± 0.254,0.614 ± 0.195,0.592 ± 0.200,0.538 ± 0.265,6.000 ± 2.000
RandomForest,0.640 ± 0.092,0.692 ± 0.082,0.596 ± 0.102,0.565 ± 0.106,0.563 ± 0.217,0.661 ± 0.245,0.600 ± 0.219,0.469 ± 0.158,6.000 ± 2.000
LightGBM,0.639 ± 0.110,0.701 ± 0.052,0.588 ± 0.130,0.606 ± 0.079,0.591 ± 0.179,0.782 ± 0.186,0.644 ± 0.142,0.431 ± 0.183,6.000 ± 2.000
SVM_Linear,0.623 ± 0.180,0.676 ± 0.214,0.555 ± 0.156,0.580 ± 0.099,0.575 ± 0.187,0.782 ± 0.199,0.629 ± 0.148,0.377 ± 0.230,6.000 ± 2.000
NaiveBayes,0.623 ± 0.075,0.680 ± 0.178,0.644 ± 0.089,0.598 ± 0.116,0.649 ± 0.252,0.696 ± 0.272,0.638 ± 0.178,0.500 ± 0.416,6.000 ± 2.000
GradientBoosting,0.616 ± 0.109,0.678 ± 0.092,0.560 ± 0.121,0.575 ± 0.092,0.568 ± 0.173,0.794 ± 0.199,0.632 ± 0.135,0.357 ± 0.216,6.000 ± 2.000
SVM_RBF,0.614 ± 0.182,0.695 ± 0.144,0.572 ± 0.115,0.591 ± 0.080,0.581 ± 0.173,0.782 ± 0.186,0.636 ± 0.129,0.400 ± 0.201,6.000 ± 2.000
ExtraTrees,0.612 ± 0.168,0.706 ± 0.135,0.564 ± 0.124,0.565 ± 0.128,0.582 ± 0.197,0.633 ± 0.114,0.588 ± 0.142,0.498 ± 0.215,6.000 ± 2.000
XGBoost,0.608 ± 0.129,0.676 ± 0.095,0.566 ± 0.138,0.586 ± 0.105,0.574 ± 0.177,0.771 ± 0.219,0.627 ± 0.146,0.402 ± 0.181,6.000 ± 2.000
