Experiment_ID,FS_METHOD,Model,Run_Name_No_SMOTE,Run_Name_SMOTE,Mean_AUC_No_SMOTE,Mean_AUC_SMOTE,Delta_Mean_AUC_SMOTE_minus_No_SMOTE,Std_AUC_No_SMOTE,Std_AUC_SMOTE,Delta_Std_AUC_SMOTE_minus_No_SMOTE,Pooled_AUC_No_SMOTE,Pooled_AUC_SMOTE,Delta_Pooled_AUC_SMOTE_minus_No_SMOTE,Mean_PR_AUC_No_SMOTE,Mean_PR_AUC_SMOTE,Delta_Mean_PR_AUC_SMOTE_minus_No_SMOTE,Pooled_PR_AUC_No_SMOTE,Pooled_PR_AUC_SMOTE,Delta_Pooled_PR_AUC_SMOTE_minus_No_SMOTE,Mean_Bal_Acc_No_SMOTE,Mean_Bal_Acc_SMOTE,Delta_Mean_Bal_Acc_SMOTE_minus_No_SMOTE,Pooled_Bal_Acc_No_SMOTE,Pooled_Bal_Acc_SMOTE,Delta_Pooled_Bal_Acc_SMOTE_minus_No_SMOTE,Mean_F1_No_SMOTE,Mean_F1_SMOTE,Delta_Mean_F1_SMOTE_minus_No_SMOTE,Pooled_F1_No_SMOTE,Pooled_F1_SMOTE,Delta_Pooled_F1_SMOTE_minus_No_SMOTE,Mean_Specificity_No_SMOTE,Mean_Specificity_SMOTE,Delta_Mean_Specificity_SMOTE_minus_No_SMOTE,Pooled_Specificity_No_SMOTE,Pooled_Specificity_SMOTE,Delta_Pooled_Specificity_SMOTE_minus_No_SMOTE,Avg_Features_No_SMOTE,Avg_Features_SMOTE,Delta_Avg_Features_SMOTE_minus_No_SMOTE,N_Unique_Selected_Features_No_SMOTE,N_Unique_Selected_Features_SMOTE,Delta_N_Unique_Selected_Features_SMOTE_minus_No_SMOTE
corr_mrmr_auto_k,corr_mrmr,ExtraTrees,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6517592592592594,0.6456719977553311,-0.006087261503928243,0.1429949829810484,0.1525228681136706,0.009527885132622205,0.6396449704142012,0.6378698224852071,-0.0017751479289941363,0.7301309167135148,0.7341701481574461,0.004039231443931257,0.6776534594527959,0.6983989525711054,0.020745493118309533,0.6260227272727272,0.5908838383838384,-0.03513888888888883,0.6076923076923078,0.5711538461538461,-0.03653846153846163,0.6145665145665145,0.5855335377394201,-0.02903297682709438,0.6290322580645161,0.6031746031746031,-0.025857654889912984,0.6155555555555556,0.5577777777777777,-0.05777777777777793,0.6153846153846154,0.5576923076923077,-0.05769230769230771,12.8,12.8,0.0,42,42,0
corr_mrmr_auto_k,corr_mrmr,GradientBoosting,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6394781144781145,0.6632112794612793,0.0237331649831648,0.0998814291833184,0.1366621625825688,0.036780733399250407,0.5931952662721893,0.5815088757396449,-0.011686390532544388,0.684479279313374,0.7245219501278496,0.040042670814475545,0.6736570129833157,0.6474047421411051,-0.0262522708422106,0.5612121212121213,0.6209343434343435,0.05972222222222223,0.5384615384615385,0.5788461538461538,0.04038461538461524,0.5909071320836027,0.5991513056835638,0.008244173599961102,0.6015037593984962,0.576271186440678,-0.025232572957818222,0.4577777777777777,0.6466666666666667,0.18888888888888905,0.4615384615384615,0.6346153846153846,0.17307692307692307,12.8,12.8,0.0,42,42,0
corr_mrmr_auto_k,corr_mrmr,KNN,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6374782547699215,0.6632659932659932,0.025787738496071744,0.0681023077849705,0.05999412026886,-0.008108187516110504,0.6153846153846154,0.6667159763313609,0.05133136094674551,0.6824010105001821,0.72385137278378,0.041450362283597886,0.6759909305191125,0.7312684953461135,0.05527756482700097,0.5422348484848485,0.5885858585858585,0.04635101010101006,0.5269230769230769,0.6038461538461538,0.07692307692307687,0.6434615384615385,0.6085328341168162,-0.03492870434472228,0.6623376623376623,0.640625,-0.021712662337662336,0.2666666666666667,0.5488888888888889,0.28222222222222215,0.2692307692307692,0.5769230769230769,0.30769230769230765,12.8,12.8,0.0,42,42,0
corr_mrmr_auto_k,corr_mrmr,LightGBM,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6587619248035915,0.6610122053872053,0.002250280583613762,0.1706978643335808,0.1459370861874374,-0.024760778146143414,0.609319526627219,0.6090236686390533,-0.0002958579881656709,0.7488822180228247,0.7377098144586162,-0.011172403564208566,0.6659980920805939,0.6594676954143779,-0.006530396666216021,0.625189393939394,0.5951136363636363,-0.030075757575757645,0.6038461538461538,0.5826923076923077,-0.02115384615384608,0.6157786357786358,0.6173274094326725,0.001548773654036717,0.640625,0.6363636363636364,-0.0042613636363636465,0.5888888888888888,0.5133333333333333,-0.07555555555555549,0.5769230769230769,0.5192307692307693,-0.0576923076923076,12.8,12.8,0.0,42,42,0
corr_mrmr_auto_k,corr_mrmr,LogisticRegression,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.5899551066217733,0.5937345679012346,0.0037794612794612714,0.1836314965299478,0.1853951381849383,0.0017636416549904887,0.5798816568047337,0.5863905325443787,0.0065088757396449815,0.6587949406665006,0.6690904321574375,0.010295491490936892,0.6412040091843737,0.6574686718883129,0.016264662703939226,0.5959343434343434,0.5737121212121211,-0.022222222222222254,0.5596153846153846,0.5403846153846154,-0.019230769230769273,0.627936507936508,0.6076767676767677,-0.02025974025974031,0.6046511627906976,0.5954198473282443,-0.009231315462453371,0.5355555555555556,0.491111111111111,-0.044444444444444564,0.5192307692307693,0.4807692307692308,-0.03846153846153849,12.8,12.8,0.0,42,42,0
corr_mrmr_auto_k,corr_mrmr,NaiveBayes,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.5742522446689113,0.5631004489337823,-0.011151795735129033,0.025859019395605,0.0309903050672898,0.005131285671684801,0.5801775147928994,0.5736686390532545,-0.00650887573964487,0.626863798781802,0.6157362215771908,-0.011127577204611216,0.6317704930774786,0.617230849708612,-0.014539643368866595,0.538989898989899,0.5303156565656566,-0.008674242424242418,0.575,0.5692307692307692,-0.005769230769230749,0.6102255639097744,0.5921553884711779,-0.01807017543859657,0.6845637583892618,0.6712328767123288,-0.01333088167693297,0.3911111111111111,0.4044444444444444,0.013333333333333308,0.3653846153846153,0.3846153846153846,0.019230769230769273,12.8,12.8,0.0,42,42,0
corr_mrmr_auto_k,corr_mrmr,RandomForest,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6805765993265993,0.6528507295173962,-0.027725869809203108,0.1503271525712098,0.1169757920066555,-0.03335136056455429,0.620414201183432,0.6127218934911243,-0.007692307692307776,0.7712857710145492,0.7374527291683687,-0.03383304184618052,0.7233429692538447,0.7108316889306006,-0.012511280323244112,0.5746212121212121,0.5558838383838384,-0.01873737373737372,0.5480769230769231,0.5384615384615384,-0.009615384615384692,0.5997997997997998,0.5367172675521822,-0.06308253224761762,0.6060606060606061,0.5645161290322581,-0.04154447702834796,0.4888888888888889,0.5266666666666667,0.037777777777777855,0.4807692307692308,0.5384615384615384,0.057692307692307654,12.8,12.8,0.0,42,42,0
corr_mrmr_auto_k,corr_mrmr,SVM_Linear,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6051171436588103,0.5120833333333333,-0.09303381032547697,0.176060391697823,0.1956833547050999,0.019622963007276895,0.5633136094674557,0.5428994082840237,-0.020414201183431957,0.6859521207354573,0.604395462670614,-0.08155665806484336,0.6396807858615593,0.6120539109282754,-0.027626874933283863,0.5429545454545455,0.5880934343434343,0.04513888888888884,0.5192307692307692,0.5423076923076923,0.023076923076923106,0.6031386157701947,0.6308513600786837,0.027712744308489023,0.625,0.6231884057971014,-0.0018115942028985588,0.3644444444444444,0.4755555555555555,0.1111111111111111,0.3461538461538461,0.4230769230769231,0.07692307692307698,12.8,12.8,0.0,42,42,0
corr_mrmr_auto_k,corr_mrmr,SVM_RBF,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.569064253647587,0.5988285634118968,0.029764309764309882,0.2316301573523677,0.2085973498743095,-0.023032807478058193,0.4994082840236686,0.5677514792899409,0.06834319526627225,0.7068168530312938,0.7201250702770411,0.013308217245747267,0.6309198939386342,0.6640300795912126,0.033110185652578394,0.4776767676767677,0.5363636363636364,0.058686868686868676,0.45,0.5153846153846154,0.06538461538461543,0.5752451728935492,0.6358247545257624,0.06057958163221322,0.6013071895424836,0.6624203821656051,0.061113192623121426,0.2199999999999999,0.2666666666666667,0.04666666666666683,0.1923076923076923,0.2307692307692307,0.03846153846153841,12.8,12.8,0.0,42,42,0
corr_mrmr_auto_k,corr_mrmr,XGBoost,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6375687429854097,0.6692494388327722,0.03168069584736255,0.0992470494012294,0.1009747980458079,0.0017277486445785029,0.5955621301775148,0.6162721893491124,0.020710059171597628,0.7084058729582384,0.7349385757284969,0.02653270277025843,0.6693897512829545,0.6711957568798566,0.0018060055969020272,0.5946969696969697,0.5886489898989898,-0.0060479797979798855,0.573076923076923,0.5615384615384615,-0.011538461538461497,0.6172096908939013,0.5932496811753778,-0.023960009718523523,0.631578947368421,0.5984251968503937,-0.03315375051802727,0.5111111111111111,0.5377777777777778,0.026666666666666727,0.5,0.5384615384615384,0.038461538461538436,12.8,12.8,0.0,42,42,0
