,SVM_Linear,LogisticRegression,SVM_RBF,NaiveBayes,ExtraTrees,RandomForest,LightGBM,GradientBoosting,XGBoost,KNN
SVM_Linear,0.0,-1.165494898147472,-0.019830620702188943,1.5554499328400155,2.099925347973186,2.3052989111520024,1.9380835459463275,3.6202571649745225,2.2135298263668126,2.7696745633367907
LogisticRegression,1.165494898147472,0.0,1.370421878387616,2.115243021212961,2.8617661837712163,2.9050040244048385,2.549012795226691,4.498680014560692,2.8767576718069523,3.7516566382091088
SVM_RBF,0.019830620702188943,-1.370421878387616,0.0,1.5428634808689565,2.4219606525855233,2.571769388008618,1.9492698382653515,3.908256148190412,2.278979393670785,3.023664986162035
NaiveBayes,-1.5554499328400155,-2.115243021212961,-1.5428634808689565,0.0,-0.06997530782431254,0.2316979315365309,-0.0843682828576886,0.86995699757009,0.026364268147232108,0.40221446136279293
ExtraTrees,-2.099925347973186,-2.8617661837712163,-2.4219606525855233,0.06997530782431254,0.0,0.6035056495251382,-0.03687671228910666,1.5810198684666246,0.12323752920610587,0.6850871841065942
RandomForest,-2.3052989111520024,-2.9050040244048385,-2.571769388008618,-0.2316979315365309,-0.6035056495251382,0.0,-0.5988068449203815,1.3232057666660924,-0.37092908601513147,0.20366238487199603
LightGBM,-1.9380835459463275,-2.549012795226691,-1.9492698382653515,0.0843682828576886,0.03687671228910666,0.5988068449203815,0.0,1.6798963058975014,0.23715701258881838,0.6350986677724036
GradientBoosting,-3.6202571649745225,-4.498680014560692,-3.908256148190412,-0.86995699757009,-1.5810198684666246,-1.3232057666660924,-1.6798963058975014,0.0,-1.5272654869657143,-0.6288672671328226
XGBoost,-2.2135298263668126,-2.8767576718069523,-2.278979393670785,-0.026364268147232108,-0.12323752920610587,0.37092908601513147,-0.23715701258881838,1.5272654869657143,0.0,0.4966396623305528
KNN,-2.7696745633367907,-3.7516566382091088,-3.023664986162035,-0.40221446136279293,-0.6850871841065942,-0.20366238487199603,-0.6350986677724036,0.6288672671328226,-0.4966396623305528,0.0
