,SVM_Linear,LogisticRegression,SVM_RBF,NaiveBayes,ExtraTrees,RandomForest,LightGBM,GradientBoosting,XGBoost,KNN
SVM_Linear,1.0,0.24381872416712236,0.9841784908947327,0.11983894986948565,0.03573540856957322,0.021149838486859526,0.05261303054921476,0.00029431035442178575,0.02686113926112859,0.005611232686243711
LogisticRegression,0.24381872416712236,1.0,0.17055524639751418,0.0344092399818763,0.004212875756017021,0.0036724837819431546,0.010802833668005983,6.837668419262556e-06,0.004017840132902627,0.00017566994527585462
SVM_RBF,0.9841784908947327,0.17055524639751418,1.0,0.12286390310330328,0.015437021914982486,0.010118026411238643,0.051263208568449826,9.296471458783052e-05,0.022668290262861317,0.0024973281651420026
NaiveBayes,0.11983894986948565,0.0344092399818763,0.12286390310330328,1.0,0.9442133129520861,0.8167726380673997,0.9327636239657924,0.38432390499596325,0.9789667941246613,0.687526200279748
ExtraTrees,0.03573540856957322,0.004212875756017021,0.015437021914982486,0.9442133129520861,1.0,0.5461723583283623,0.9705833080159821,0.11387349492290229,0.9019190080522842,0.49328890693759264
RandomForest,0.021149838486859526,0.0036724837819431546,0.010118026411238643,0.8167726380673997,0.5461723583283623,1.0,0.549301697265431,0.18576695881055472,0.7106903506039929,0.8386173385879658
LightGBM,0.05261303054921476,0.010802833668005983,0.051263208568449826,0.9327636239657924,0.9705833080159821,0.549301697265431,1.0,0.09297749268004164,0.8125349840252059,0.5253640658825434
GradientBoosting,0.00029431035442178575,6.837668419262556e-06,9.296471458783052e-05,0.38432390499596325,0.11387349492290229,0.18576695881055472,0.09297749268004164,1.0,0.1266950079098246,0.5294359571212822
XGBoost,0.02686113926112859,0.004017840132902627,0.022668290262861317,0.9789667941246613,0.9019190080522842,0.7106903506039929,0.8125349840252059,0.1266950079098246,1.0,0.6194431786041826
KNN,0.005611232686243711,0.00017566994527585462,0.0024973281651420026,0.687526200279748,0.49328890693759264,0.8386173385879658,0.5253640658825434,0.5294359571212822,0.6194431786041826,1.0
