Feature_Original,Feature_Index,Feature_Sanitized,MeanAbsSHAP,Selection_Count
IH_MinimumHistogramGradient_Intensity,84,IH_MinimumHistogramGradient_Intensity,0.10108355637084888,2
Morph_Sphericity,9,Morph_Sphericity,0.059935400175759296,3
GLSZM_NormalisedZoneSizeNonUniformity,140,GLSZM_NormalisedZoneSizeNonUniformity,0.05760596348532432,2
GLCM_JointMaximum,86,GLCM_JointMaximum,0.05686964288295689,3
GLCM_ClusterShade,108,GLCM_ClusterShade,0.04932468671525889,2
Morph_SphericalDisproportion,8,Morph_SphericalDisproportion,0.047746496447145764,2
IH_IntensityHistogramMinimumGreyLevel_Intensity,61,IH_IntensityHistogramMinimumGreyLevel_Intensity,0.046007468273333865,2
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,27,Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.03740048428824853,2
GLRLM_LongRunHighGreyLevelEmphasis,117,GLRLM_LongRunHighGreyLevelEmphasis,0.025838040801918847,2
GLCM_NormalisedInverseDifference,101,GLCM_NormalisedInverseDifference,0.016245993913634002,2
