Single_Tag,Dataset,Experiment_ID,FS_METHOD,Best_Model_No_SMOTE,Best_Model_SMOTE,Mean_AUC_No_SMOTE,Mean_AUC_SMOTE,Delta_Mean_AUC_SMOTE_minus_No_SMOTE,Pooled_AUC_No_SMOTE,Pooled_AUC_SMOTE,Delta_Pooled_AUC_SMOTE_minus_No_SMOTE,Mean_PR_AUC_No_SMOTE,Mean_PR_AUC_SMOTE,Delta_Mean_PR_AUC_SMOTE_minus_No_SMOTE,Mean_Bal_Acc_No_SMOTE,Mean_Bal_Acc_SMOTE,Delta_Mean_Bal_Acc_SMOTE_minus_No_SMOTE,Avg_Features_No_SMOTE,Avg_Features_SMOTE,Delta_Avg_Features_SMOTE_minus_No_SMOTE,Run_Name_No_SMOTE,Run_Name_SMOTE,SMOTE_Effect
ADC,ADC,corr_mrmr_auto_k,corr_mrmr,LogisticRegression,LogisticRegression,0.7476682178356819,0.7319497550119559,-0.015718462823726,0.7031249999999999,0.6959375,-0.0071874999999999,0.801916945770375,0.7959089707445981,-0.0060079750257768,0.6892703349282296,0.688977937267411,-0.0002923976608186,12.0,12.0,0.0,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,No_SMOTE_better_or_equal
ADC,ADC,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,KNN,LightGBM,0.7280579778187433,0.760117545930943,0.0320595681121997,0.6682812499999999,0.7264062499999999,0.0581249999999999,0.7449253760836461,0.8170835685540055,0.0721581924703594,0.680983519404572,0.685038353459406,0.0040548340548339,13.2,13.2,0.0,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,SMOTE_better
ADC,ADC,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,LogisticRegression,SVM_Linear,0.7615227462595884,0.7641100685598292,0.0025873223002408,0.7150000000000001,0.6912499999999999,-0.0237500000000001,0.8155175810177987,0.7985308324026308,-0.0169867486151679,0.7135951621477937,0.6926427811954128,-0.0209523809523809,8.8,8.8,0.0,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,SMOTE_better
Post1,Post1,corr_mrmr_auto_k,corr_mrmr,SVM_RBF,ExtraTrees,0.6986655773420478,0.6546101774042951,-0.0440553999377527,0.6406250000000001,0.6334134615384616,-0.0072115384615385,0.7841293516827197,0.7520511989453526,-0.0320781527373671,0.6016339869281045,0.6258636788048553,0.0242296918767507,12.0,12.0,0.0,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,No_SMOTE_better_or_equal
Post1,Post1,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,KNN,KNN,0.743167211328976,0.7672478991596638,0.0240806878306878,0.7433894230769231,0.7647235576923077,0.0213341346153845,0.7650054883197297,0.798354315666422,0.0333488273466923,0.6684290382819794,0.6785504201680672,0.0101213818860877,7.2,7.2,0.0,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,SMOTE_better
Post1,Post1,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,XGBoost,NaiveBayes,0.6584889511360099,0.6583512293806412,-0.0001377217553687,0.6754807692307693,0.6834435096153845,0.0079627403846151,0.7035892026889469,0.6984848032792522,-0.0051043994096946,0.6206349206349207,0.5611157796451913,-0.0595191409897293,12.0,12.0,0.0,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,No_SMOTE_better_or_equal
Post2,Post2,corr_mrmr_auto_k,corr_mrmr,LightGBM,LightGBM,0.7437556116722783,0.7369703984287318,-0.0067852132435465,0.6923076923076923,0.6513313609467456,-0.0409763313609466,0.820323679406593,0.8163729412938906,-0.0039507381127024,0.7039898989898989,0.6946843434343434,-0.0093055555555555,8.4,8.4,0.0,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,No_SMOTE_better_or_equal
Post2,Post2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_RBF,SVM_RBF,0.7897615039281706,0.7873092031425365,-0.002452300785634,0.7440828402366864,0.7510355029585799,0.0069526627218935,0.8761986278988442,0.8718210725837888,-0.0043775553150553,0.6882954545454545,0.7044823232323232,0.0161868686868686,10.8,10.8,0.0,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,No_SMOTE_better_or_equal
Post2,Post2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,SVM_RBF,ExtraTrees,0.7523583052749718,0.7571071829405163,0.0047488776655444,0.7168639053254439,0.7168639053254438,-1.1102230246251563e-16,0.8196305566595665,0.8361588425155523,0.0165282858559857,0.6685732323232323,0.6821212121212121,0.0135479797979798,10.4,10.4,0.0,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,SMOTE_better
Pre,Pre,corr_mrmr_auto_k,corr_mrmr,LogisticRegression,LogisticRegression,0.6144682940516274,0.6120861391694725,-0.0023821548821548,0.6213017751479291,0.6218934911242605,0.0005917159763314,0.6489743452391752,0.6450507656893057,-0.0039235795498694,0.596780303030303,0.5967803030303029,-1.1102230246251563e-16,10.4,10.4,0.0,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,No_SMOTE_better_or_equal
Pre,Pre,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,LightGBM,LogisticRegression,0.6700771604938272,0.6677511223344557,-0.0023260381593714,0.6127218934911243,0.6547337278106509,0.0420118343195266,0.7413324865471235,0.7250764865843131,-0.0162559999628103,0.6102525252525253,0.6023863636363636,-0.0078661616161617,9.2,9.2,0.0,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,No_SMOTE_better_or_equal
Pre,Pre,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,SVM_RBF,LogisticRegression,0.6781537598204265,0.6981748035914702,0.0200210437710437,0.6396449704142013,0.6786982248520711,0.0390532544378697,0.7432898136869619,0.7527950189509405,0.0095052052639785,0.5923989898989899,0.592121212121212,-0.0002777777777778,10.4,10.4,0.0,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,SMOTE_better
T2,T2,corr_mrmr_auto_k,corr_mrmr,LightGBM,ExtraTrees,0.626662457912458,0.63912177328844,0.0124593153759819,0.57603550295858,0.6408284023668639,0.0647928994082839,0.7159790341846037,0.69697321245204,-0.0190058217325637,0.5643560606060606,0.5801641414141414,0.0158080808080808,14.4,14.4,0.0,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,SMOTE_better
T2,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,KNN,SVM_RBF,0.6701529180695848,0.6744991582491583,0.0043462401795735,0.628698224852071,0.6420118343195267,0.0133136094674556,0.7071623910211274,0.7083171821340213,0.0011547911128938,0.5576010101010102,0.592260101010101,0.0346590909090908,12.4,12.4,0.0,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,SMOTE_better
T2,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,XGBoost,XGBoost,0.6439730639730639,0.6654040404040404,0.0214309764309765,0.6630177514792899,0.6928994082840236,0.0298816568047337,0.6982078188952123,0.7091351730252954,0.010927354130083,0.5527398989898991,0.6485732323232323,0.0958333333333332,10.0,10.0,0.0,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,SMOTE_better
