Single_Tag,Dataset,Experiment_ID,FS_METHOD,Best_Model_No_SMOTE,Best_Model_SMOTE,Run_Name_No_SMOTE,Run_Name_SMOTE,Mean_AUC_No_SMOTE,Mean_AUC_SMOTE,Delta_Mean_AUC_SMOTE_minus_No_SMOTE,Std_AUC_No_SMOTE,Std_AUC_SMOTE,Delta_Std_AUC_SMOTE_minus_No_SMOTE,Pooled_AUC_No_SMOTE,Pooled_AUC_SMOTE,Delta_Pooled_AUC_SMOTE_minus_No_SMOTE,Mean_PR_AUC_No_SMOTE,Mean_PR_AUC_SMOTE,Delta_Mean_PR_AUC_SMOTE_minus_No_SMOTE,Pooled_PR_AUC_No_SMOTE,Pooled_PR_AUC_SMOTE,Delta_Pooled_PR_AUC_SMOTE_minus_No_SMOTE,Mean_Bal_Acc_No_SMOTE,Mean_Bal_Acc_SMOTE,Delta_Mean_Bal_Acc_SMOTE_minus_No_SMOTE,Pooled_Bal_Acc_No_SMOTE,Pooled_Bal_Acc_SMOTE,Delta_Pooled_Bal_Acc_SMOTE_minus_No_SMOTE,Mean_F1_No_SMOTE,Mean_F1_SMOTE,Delta_Mean_F1_SMOTE_minus_No_SMOTE,Pooled_F1_No_SMOTE,Pooled_F1_SMOTE,Delta_Pooled_F1_SMOTE_minus_No_SMOTE,Mean_Specificity_No_SMOTE,Mean_Specificity_SMOTE,Delta_Mean_Specificity_SMOTE_minus_No_SMOTE,Pooled_Specificity_No_SMOTE,Pooled_Specificity_SMOTE,Delta_Pooled_Specificity_SMOTE_minus_No_SMOTE,Avg_Features_No_SMOTE,Avg_Features_SMOTE,Delta_Avg_Features_SMOTE_minus_No_SMOTE,N_Unique_Selected_Features_No_SMOTE,N_Unique_Selected_Features_SMOTE,Delta_N_Unique_Selected_Features_SMOTE_minus_No_SMOTE
ADC,ADC,corr_mrmr_auto_k,corr_mrmr,LogisticRegression,LogisticRegression,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7446829769557042,0.7443571624193632,-0.0003258145363409,0.0262665889464777,0.0281876509505616,0.0019210620040839,0.69625,0.6943749999999999,-0.0018750000000001,0.7967774653677366,0.8043835345364994,0.0076060691687627,0.7593224470681428,0.7613918595478104,0.0020694124796676,0.687603668261563,0.6809370015948965,-0.0066666666666665,0.6703125,0.6625,-0.0078125,0.668552036199095,0.6614219114219113,-0.0071301247771836,0.6833333333333333,0.6722689075630253,-0.011064425770308,0.7007575757575758,0.7007575757575758,0.0,0.7,0.7,0.0,12.8,12.8,0.0,39,39,0
ADC,ADC,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,LogisticRegression,SVM_Linear,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.7706242189495779,0.7639818669722975,-0.0066423519772803,0.0383027951783573,0.0508428344493232,0.0125400392709658,0.7096874999999999,0.7196875,0.0100000000000001,0.8086317699889755,0.8164338044398063,0.0078020344508308,0.7427108887159894,0.7383425518211547,-0.0043683368948347,0.6867410951621478,0.7012466772993088,0.014505582137161,0.6725,0.6903125,0.0178125,0.6601923076923077,0.6851489533011271,0.0249566456088193,0.6779661016949152,0.6949152542372882,0.0169491525423729,0.7272727272727273,0.7439393939393939,0.0166666666666666,0.72,0.74,0.02,14.4,14.4,0.0,27,27,0
ADC,ADC,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,LogisticRegression,SVM_RBF,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.7106089028816301,0.6967722221071504,-0.0138366807744797,0.0754266507383426,0.0255392651240351,-0.0498873856143074,0.6940624999999999,0.6706249999999999,-0.0234375,0.7703007871651857,0.7672278166555262,-0.0030729705096594,0.728959176411184,0.7057805761531506,-0.0231786002580334,0.6921916533758639,0.6333963697121592,-0.0587952836637046,0.6803125,0.64375,-0.0365624999999999,0.6869202417809229,0.6645614035087719,-0.022358838272151,0.6890756302521008,0.6875,-0.0015756302521008,0.718939393939394,0.5805194805194805,-0.1384199134199134,0.72,0.6,-0.12,12.4,12.4,0.0,38,38,0
Post1,Post1,corr_mrmr_auto_k,corr_mrmr,SVM_RBF,ExtraTrees,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6986655773420478,0.6546101774042951,-0.0440553999377527,0.1263287252372711,0.0935903374499282,-0.0327383877873428,0.6406250000000001,0.6334134615384616,-0.0072115384615385,0.7841293516827197,0.7520511989453526,-0.0320781527373671,0.7059368539662991,0.7265414944671009,0.0206046405008017,0.6016339869281045,0.6258636788048553,0.0242296918767507,0.5691105769230769,0.5895432692307692,0.0204326923076922,0.6301470588235294,0.6157109557109558,-0.0144361031125735,0.6619718309859155,0.6356589147286822,-0.0263129162572333,0.4444444444444445,0.5634920634920635,0.119047619047619,0.4038461538461538,0.5384615384615384,0.1346153846153846,12.0,12.0,0.0,29,29,0
Post1,Post1,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,KNN,KNN,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.743167211328976,0.7672478991596638,0.0240806878306878,0.1003434110195496,0.0981678212557853,-0.0021755897637643,0.7433894230769231,0.7647235576923077,0.0213341346153845,0.7650054883197297,0.798354315666422,0.0333488273466923,0.7959809455319256,0.8150282786635179,0.0190473331315923,0.6684290382819794,0.6785504201680672,0.0101213818860877,0.6748798076923077,0.7049278846153846,0.0300480769230768,0.6675019272186857,0.6263520871143375,-0.0411498401043481,0.7175572519083969,0.7008547008547008,-0.0167025510536961,0.6329365079365079,0.7869047619047619,0.1539682539682539,0.6153846153846154,0.7692307692307693,0.1538461538461538,7.2,7.2,0.0,17,17,0
Post1,Post1,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,XGBoost,NaiveBayes,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.6584889511360099,0.6583512293806412,-0.0001377217553687,0.0504314803085377,0.0954056929426743,0.0449742126341366,0.6754807692307693,0.6834435096153845,0.0079627403846151,0.7035892026889469,0.6984848032792522,-0.0051043994096946,0.6985680304154177,0.7204834664248103,0.0219154360093926,0.6206349206349207,0.5611157796451913,-0.0595191409897293,0.6183894230769231,0.6081730769230769,-0.0102163461538462,0.6173463069438302,0.6335144848774691,0.0161681779336388,0.6507936507936508,0.7074829931972789,0.0566893424036281,0.6079365079365079,0.3896825396825397,-0.2182539682539682,0.5961538461538461,0.4038461538461538,-0.1923076923076923,12.0,12.0,0.0,38,38,0
Post2,Post2,corr_mrmr_auto_k,corr_mrmr,LightGBM,LightGBM,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7437556116722783,0.7369703984287318,-0.0067852132435465,0.1195637965077793,0.1237676641925296,0.0042038676847502,0.6923076923076923,0.6513313609467456,-0.0409763313609466,0.820323679406593,0.8163729412938906,-0.0039507381127024,0.7435191731056903,0.6959974711191044,-0.0475217019865858,0.7039898989898989,0.6946843434343434,-0.0093055555555555,0.6730769230769231,0.6711538461538462,-0.0019230769230769,0.709161712319607,0.6917948717948718,-0.0173668405247352,0.703125,0.7076923076923077,0.0045673076923077,0.6822222222222222,0.6511111111111111,-0.031111111111111,0.6538461538461539,0.6346153846153846,-0.0192307692307692,8.4,8.4,0.0,25,25,0
Post2,Post2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_RBF,SVM_RBF,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.7897615039281706,0.7873092031425365,-0.002452300785634,0.1272521514572494,0.1294676321465468,0.0022154806892973,0.7440828402366864,0.7510355029585799,0.0069526627218935,0.8761986278988442,0.8718210725837888,-0.0043775553150553,0.8146227235534622,0.8213934890154204,0.0067707654619582,0.6882954545454545,0.7044823232323232,0.0161868686868686,0.6692307692307693,0.6846153846153846,0.0153846153846153,0.6944312733786417,0.6831073762838469,-0.0113238970947948,0.7121212121212122,0.704,-0.0081212121212121,0.6244444444444444,0.7,0.0755555555555556,0.6153846153846154,0.6923076923076923,0.0769230769230768,10.8,10.8,0.0,22,22,0
Post2,Post2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,SVM_RBF,ExtraTrees,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.7523583052749718,0.7571071829405163,0.0047488776655444,0.1113802437806729,0.1027050881938623,-0.0086751555868106,0.7168639053254439,0.7168639053254438,-1.1102230246251563e-16,0.8196305566595665,0.8361588425155523,0.0165282858559857,0.7951372985770255,0.8003583273829167,0.0052210288058911,0.6685732323232323,0.6821212121212121,0.0135479797979798,0.6269230769230769,0.6480769230769231,0.0211538461538461,0.696829436583076,0.6368253968253968,-0.060004039757679,0.7,0.6440677966101694,-0.0559322033898305,0.56,0.7288888888888889,0.1688888888888888,0.5,0.7115384615384616,0.2115384615384615,10.4,10.4,0.0,33,33,0
Pre,Pre,corr_mrmr_auto_k,corr_mrmr,LogisticRegression,LogisticRegression,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6144682940516274,0.6120861391694725,-0.0023821548821548,0.1091848421140427,0.0833701706852364,-0.0258146714288062,0.6213017751479291,0.6218934911242605,0.0005917159763314,0.6489743452391752,0.6450507656893057,-0.0039235795498694,0.6535836353752755,0.657452829465444,0.0038691940901685,0.596780303030303,0.5967803030303029,-1.1102230246251563e-16,0.575,0.5807692307692308,0.0057692307692308,0.6382640503009714,0.6391392111761324,0.0008751608751609,0.6571428571428571,0.6713286713286714,0.0141858141858142,0.5,0.4777777777777777,-0.0222222222222223,0.4423076923076923,0.4230769230769231,-0.0192307692307692,10.4,10.4,0.0,33,33,0
Pre,Pre,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,LightGBM,LogisticRegression,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.6700771604938272,0.6677511223344557,-0.0023260381593714,0.1456299810247404,0.132102467975406,-0.0135275130493343,0.6127218934911243,0.6547337278106509,0.0420118343195266,0.7413324865471235,0.7250764865843131,-0.0162559999628103,0.6496246803488994,0.6806438379159452,0.0310191575670457,0.6102525252525253,0.6023863636363636,-0.0078661616161617,0.5865384615384616,0.6,0.0134615384615384,0.6213317384370016,0.6335344225666806,0.0122026841296789,0.625,0.6515151515151515,0.0265151515151514,0.5644444444444444,0.528888888888889,-0.0355555555555554,0.5576923076923077,0.5384615384615384,-0.0192307692307692,9.2,9.2,0.0,24,24,0
Pre,Pre,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,SVM_RBF,LogisticRegression,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.6781537598204265,0.6981748035914702,0.0200210437710437,0.09839375713556,0.0703878787130751,-0.0280058784224849,0.6396449704142013,0.6786982248520711,0.0390532544378697,0.7432898136869619,0.7527950189509405,0.0095052052639785,0.6963997214980628,0.7395409264937207,0.0431412049956578,0.5923989898989899,0.592121212121212,-0.0002777777777778,0.5942307692307692,0.5942307692307692,0.0,0.6566145092460881,0.609094304388422,-0.047520204857666,0.6938775510204082,0.6356589147286822,-0.0582186362917259,0.3911111111111111,0.5488888888888889,0.1577777777777778,0.4038461538461538,0.5576923076923077,0.1538461538461539,10.4,10.4,0.0,34,34,0
T2,T2,corr_mrmr_auto_k,corr_mrmr,LightGBM,ExtraTrees,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.626662457912458,0.63912177328844,0.0124593153759819,0.1339835177552683,0.1143622909377707,-0.0196212268174975,0.57603550295858,0.6408284023668639,0.0647928994082839,0.7159790341846037,0.69697321245204,-0.0190058217325637,0.6672904424577952,0.7060364700757935,0.0387460276179982,0.5643560606060606,0.5801641414141414,0.0158080808080808,0.5615384615384615,0.5673076923076923,0.0057692307692307,0.5619451542372434,0.6010989010989012,0.0391537468616577,0.5984251968503937,0.6153846153846154,0.0169594185342216,0.5422222222222223,0.5288888888888889,-0.0133333333333334,0.5384615384615384,0.5192307692307693,-0.0192307692307691,14.4,14.4,0.0,43,43,0
T2,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,KNN,SVM_RBF,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.6701529180695848,0.6744991582491583,0.0043462401795735,0.0982020967373296,0.0494379918900018,-0.0487641048473278,0.628698224852071,0.6420118343195267,0.0133136094674556,0.7071623910211274,0.7083171821340213,0.0011547911128938,0.7189497882550799,0.6790838135038568,-0.0398659747512231,0.5576010101010102,0.592260101010101,0.0346590909090908,0.5288461538461539,0.5903846153846154,0.0615384615384615,0.5951414768806074,0.5853632478632479,-0.0097782290173594,0.6293706293706294,0.6129032258064516,-0.0164674035641777,0.3866666666666666,0.5866666666666667,0.2,0.3653846153846153,0.5961538461538461,0.2307692307692308,12.4,12.4,0.0,26,26,0
T2,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,XGBoost,XGBoost,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.6439730639730639,0.6654040404040404,0.0214309764309765,0.1296043156008425,0.1398017749236718,0.0101974593228292,0.6630177514792899,0.6928994082840236,0.0298816568047337,0.6982078188952123,0.7091351730252954,0.010927354130083,0.6525142562561844,0.6792658740728336,0.0267516178166491,0.5527398989898991,0.6485732323232323,0.0958333333333332,0.5692307692307692,0.6615384615384616,0.0923076923076924,0.6018478260869565,0.6612974744553692,0.0594496483684127,0.6423357664233577,0.7022900763358778,0.0599543099125201,0.4311111111111111,0.5977777777777779,0.1666666666666667,0.4615384615384615,0.6153846153846154,0.1538461538461539,10.0,10.0,0.0,36,36,0
