Single_Tag,Dataset,Experiment_ID,FS_METHOD,Model,Run_Name_No_SMOTE,Run_Name_SMOTE,Mean_AUC_No_SMOTE,Mean_AUC_SMOTE,Delta_Mean_AUC_SMOTE_minus_No_SMOTE,Std_AUC_No_SMOTE,Std_AUC_SMOTE,Delta_Std_AUC_SMOTE_minus_No_SMOTE,Pooled_AUC_No_SMOTE,Pooled_AUC_SMOTE,Delta_Pooled_AUC_SMOTE_minus_No_SMOTE,Mean_PR_AUC_No_SMOTE,Mean_PR_AUC_SMOTE,Delta_Mean_PR_AUC_SMOTE_minus_No_SMOTE,Pooled_PR_AUC_No_SMOTE,Pooled_PR_AUC_SMOTE,Delta_Pooled_PR_AUC_SMOTE_minus_No_SMOTE,Mean_Bal_Acc_No_SMOTE,Mean_Bal_Acc_SMOTE,Delta_Mean_Bal_Acc_SMOTE_minus_No_SMOTE,Pooled_Bal_Acc_No_SMOTE,Pooled_Bal_Acc_SMOTE,Delta_Pooled_Bal_Acc_SMOTE_minus_No_SMOTE,Mean_F1_No_SMOTE,Mean_F1_SMOTE,Delta_Mean_F1_SMOTE_minus_No_SMOTE,Pooled_F1_No_SMOTE,Pooled_F1_SMOTE,Delta_Pooled_F1_SMOTE_minus_No_SMOTE,Mean_Specificity_No_SMOTE,Mean_Specificity_SMOTE,Delta_Mean_Specificity_SMOTE_minus_No_SMOTE,Pooled_Specificity_No_SMOTE,Pooled_Specificity_SMOTE,Delta_Pooled_Specificity_SMOTE_minus_No_SMOTE,Avg_Features_No_SMOTE,Avg_Features_SMOTE,Delta_Avg_Features_SMOTE_minus_No_SMOTE,N_Unique_Selected_Features_No_SMOTE,N_Unique_Selected_Features_SMOTE,Delta_N_Unique_Selected_Features_SMOTE_minus_No_SMOTE
ADC,ADC,corr_mrmr_auto_k,corr_mrmr,ExtraTrees,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7245302650565808,0.7189957906704317,-0.005534474386149,0.0615464372923501,0.055229833691676,-0.006316603600674,0.680625,0.6590625,-0.0215625,0.7679680354319606,0.7534862856429352,-0.0144817497890253,0.7235768192970833,0.7076848801218862,-0.015891939175197,0.6996018455228981,0.6849553808764336,-0.0146464646464644,0.69375,0.6737500000000001,-0.0199999999999999,0.7017989417989418,0.6917989417989417,-0.01,0.7154471544715447,0.704,-0.0114471544715447,0.6903679653679654,0.6570346320346321,-0.0333333333333333,0.7,0.66,-0.0399999999999999,12.8,12.8,0.0,39,39,0
ADC,ADC,corr_mrmr_auto_k,corr_mrmr,GradientBoosting,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6823060175691754,0.7282672302887614,0.0459612127195859,0.0818534329590511,0.048357834329872,-0.0334955986291791,0.64390625,0.6637500000000001,0.01984375,0.7571505552880994,0.7428155586140935,-0.0143349966740058,0.7211310981502436,0.704710316764749,-0.0164207813854945,0.5818421052631579,0.6281916913495861,0.0463495860864281,0.5371875,0.6168750000000001,0.0796875,0.6410256410256411,0.6127272727272728,-0.0282983682983682,0.6527777777777778,0.6333333333333333,-0.0194444444444444,0.3833333333333333,0.6320346320346321,0.2487012987012987,0.34,0.64,0.3,12.8,12.8,0.0,39,39,0
ADC,ADC,corr_mrmr_auto_k,corr_mrmr,KNN,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.723787286167669,0.7130937594215105,-0.0106935267461584,0.1126189040584744,0.045418296631569,-0.0672006074269054,0.7067187500000001,0.7157812499999999,0.0090624999999998,0.7517185837065766,0.7488380205965345,-0.0028805631100421,0.7329232086117219,0.7580448399571054,0.0251216313453834,0.6428339788866105,0.6357627022100707,-0.0070712766765398,0.6371875,0.6503125000000001,0.013125,0.6939452495974234,0.6422058823529412,-0.0517393672444822,0.7014925373134329,0.6721311475409836,-0.0293613897724492,0.5218614718614718,0.6466450216450217,0.1247835497835498,0.54,0.66,0.12,12.8,12.8,0.0,39,39,0
ADC,ADC,corr_mrmr_auto_k,corr_mrmr,LightGBM,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6969176269415505,0.6493038438612602,-0.0476137830802902,0.062871915428046,0.106383523799858,0.043511608371812,0.639375,0.65046875,0.01109375,0.6983147249976319,0.6839048582900492,-0.0144098667075827,0.6472664588519407,0.6717705835693708,0.0245041247174301,0.6127259436469963,0.6415569226095542,0.0288309789625579,0.5903125,0.6403125000000001,0.05,0.6164152840623428,0.6406926406926405,0.0242773566302977,0.640625,0.6666666666666666,0.0260416666666666,0.5659090909090909,0.6320346320346321,0.0661255411255411,0.54,0.64,0.0999999999999999,12.8,12.8,0.0,39,39,0
ADC,ADC,corr_mrmr_auto_k,corr_mrmr,LogisticRegression,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7446829769557042,0.7443571624193632,-0.0003258145363409,0.0262665889464777,0.0281876509505616,0.0019210620040839,0.69625,0.6943749999999999,-0.0018750000000001,0.7967774653677366,0.8043835345364994,0.0076060691687627,0.7593224470681428,0.7613918595478104,0.0020694124796676,0.687603668261563,0.6809370015948965,-0.0066666666666665,0.6703125,0.6625,-0.0078125,0.668552036199095,0.6614219114219113,-0.0071301247771836,0.6833333333333333,0.6722689075630253,-0.011064425770308,0.7007575757575758,0.7007575757575758,0.0,0.7,0.7,0.0,12.8,12.8,0.0,39,39,0
ADC,ADC,corr_mrmr_auto_k,corr_mrmr,NaiveBayes,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6226622456048293,0.5996872979050012,-0.0229749476998281,0.0995204010854208,0.0829969002307979,-0.0165235008546229,0.64453125,0.6207812500000001,-0.0237499999999999,0.727255366465607,0.6901089483555665,-0.0371464181100404,0.7014318066906337,0.6607651570996411,-0.0406666495909925,0.5515267335004176,0.5515267335004176,0.0,0.5475,0.5475,0.0,0.6904272693746377,0.6904272693746377,0.0,0.7044025157232704,0.7044025157232704,0.0,0.2273809523809524,0.2273809523809524,0.0,0.22,0.22,0.0,12.8,12.8,0.0,39,39,0
ADC,ADC,corr_mrmr_auto_k,corr_mrmr,RandomForest,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7282537035886317,0.7341155344743863,0.0058618308857545,0.0282951380717007,0.0893837146842295,0.0610885766125288,0.6843750000000002,0.695,0.0106249999999997,0.7363232494926089,0.7197949850500949,-0.0165282644425139,0.7076153122480824,0.6753055459853392,-0.0323097662627431,0.6573583580162528,0.6934542796384902,0.0360959216222374,0.638125,0.6793750000000001,0.04125,0.6529917141681848,0.7007774936061381,0.0477857794379532,0.672,0.71875,0.0467499999999999,0.6206709956709957,0.6507575757575758,0.03008658008658,0.62,0.64,0.02,12.8,12.8,0.0,39,39,0
ADC,ADC,corr_mrmr_auto_k,corr_mrmr,SVM_Linear,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6054493787268906,0.607553249514972,0.0021038707880813,0.1716025912253965,0.1528169631018855,-0.018785628123511,0.5325000000000001,0.6431250000000001,0.1106249999999999,0.70843944462424,0.6993252587232278,-0.0091141859010122,0.6544154403697758,0.7229961220885979,0.068580681718822,0.5038011695906432,0.6240895800106326,0.1202884104199893,0.4493749999999999,0.6125,0.1631250000000001,0.598408319649699,0.6143562320032908,0.0159479123535918,0.609271523178808,0.6451612903225806,0.0358897671437726,0.2333333333333333,0.6189393939393939,0.3856060606060606,0.18,0.6,0.42,12.8,12.8,0.0,39,39,0
ADC,ADC,corr_mrmr_auto_k,corr_mrmr,SVM_RBF,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.4726525565520781,0.6046004071243305,0.1319478505722524,0.233205901508011,0.1920692375204682,-0.0411366639875427,0.5106250000000001,0.6421875,0.1315624999999999,0.5988836019286589,0.6874972490891387,0.0886136471604798,0.6415418202953793,0.7045362297459339,0.0629944094505545,0.5361276296802613,0.6254351788562315,0.0893075491759701,0.51125,0.599375,0.088125,0.5166508778577744,0.6533333333333333,0.1366824554755589,0.5669291338582677,0.6764705882352942,0.1095414543770264,0.4858225108225108,0.4971861471861472,0.0113636363636363,0.46,0.48,0.0199999999999999,12.8,12.8,0.0,39,39,0
ADC,ADC,corr_mrmr_auto_k,corr_mrmr,XGBoost,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6515173148665971,0.6741318401605483,0.0226145252939511,0.0422235645103784,0.0170555411598372,-0.0251680233505411,0.5978125,0.6449999999999999,0.0471874999999999,0.6919837776928596,0.7046542685224628,0.0126704908296032,0.6379436043570677,0.6813059269729684,0.0433623226159007,0.5803267638793954,0.6072246905141643,0.0268979266347688,0.55375,0.5990625,0.0453125,0.6366816591704149,0.6048484848484847,-0.0318331743219301,0.6423357664233577,0.6166666666666667,-0.0256690997566909,0.439069264069264,0.6133116883116883,0.1742424242424242,0.42,0.62,0.2,12.8,12.8,0.0,39,39,0
