metric,mean,std,min,max,pooled
AUC,0.6377486501847116,0.16482280791639453,0.4323671497584541,0.8846153846153846,0.5538461538461538
PR_AUC,0.6440987937882896,0.24924278652699236,0.2991263864820836,0.9813210877078941,0.5648628832940166
Accuracy,0.5647418478260869,0.08032370943376499,0.4375,0.65625,0.5641025641025641
Bal_Accuracy,0.60285209959123,0.11873099100346818,0.43961352657004826,0.7692307692307692,0.5538461538461539
F1_Score,0.5866452991452992,0.17263089489178177,0.3076923076923077,0.7555555555555555,0.6222222222222222
Precision,0.6197001527883881,0.2705694601211693,0.23529411764705882,1.0,0.6
Recall,0.6303418803418803,0.21684613009604012,0.4444444444444444,1.0,0.6461538461538462
