fold,n_estimators,max_depth,learning_rate,subsample
1,100,1,0.03970483329496214,0.8811413617128561
2,50,3,0.06571271013022326,0.8008335850362696
3,25,1,0.016584313263890035,0.9935871354122109
4,25,2,0.010131844303624045,0.7757279060334521
