Feature_Original,Feature_Sanitized,MeanAbsSHAP,Selection_Count
Post2_GLRLM_HighGreyLevelRunEmphasis,Post2_GLRLM_HighGreyLevelRunEmphasis,0.031972513306550356,2
Post2_GLCM_Autocorrelation,Post2_GLCM_Autocorrelation,0.03187777336296244,3
Pre_GLSZM_HighGrayLevelZoneEmphasis,Pre_GLSZM_HighGrayLevelZoneEmphasis,0.02703462257062519,2
Post2_IH_IntensityHistogramMode_Intensity,Post2_IH_IntensityHistogramMode_Intensity,0.0238512329275348,4
Post1_IH_IntensityHistogramMode_Intensity,Post1_IH_IntensityHistogramMode_Intensity,0.02048939848875924,3
T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.020225392243211515,2
T2_IH_IntensityHistogramMinimumGreyLevel_Intensity,T2_IH_IntensityHistogramMinimumGreyLevel_Intensity,0.019013816752704134,2
Post1_Morph_Compactness2,Post1_Morph_Compactness2,0.01860610298762116,3
T2_Morph_Compactness2,T2_Morph_Compactness2,0.018376892982728252,2
Post2_Morph_Compactness2,Post2_Morph_Compactness2,0.018339546874828402,4
Pre_Morph_Compactness2,Pre_Morph_Compactness2,0.018324529696076453,3
Post1_Morph_Compactness1,Post1_Morph_Compactness1,0.01750865288303608,3
T2_GLCM_ClusterShade,T2_GLCM_ClusterShade,0.017326353061407028,3
Post1_IH_MinimumHistogramGradientGreyLevel_Intensity,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity,0.016552377003233785,3
T2_GLSZM_NormalisedZoneSizeNonUniformity,T2_GLSZM_NormalisedZoneSizeNonUniformity,0.016122417268472404,3
Pre_NGTDM_Complexity,Pre_NGTDM_Complexity,0.01581843851858441,2
Pre_GLCM_ClusterProminence,Pre_GLCM_ClusterProminence,0.013517155574285279,3
Pre_GLCM_NormalisedInverseDifferenceMoment,Pre_GLCM_NormalisedInverseDifferenceMoment,0.008578040189918333,2
Pre_GLCM_Correlation,Pre_GLCM_Correlation,0.0049436015960883355,2
Pre_GLCM_SumEntropy,Pre_GLCM_SumEntropy,0.004569339981668807,2
Pre_GLCM_InverseDifference,Pre_GLCM_InverseDifference,0.0042475319871148045,2
Pre_GLCM_AngularSecondMoment,Pre_GLCM_AngularSecondMoment,0.003175688609726378,2
