,SVM_Linear,LogisticRegression,SVM_RBF,ExtraTrees,RandomForest,KNN,LightGBM,GradientBoosting,NaiveBayes,XGBoost
SVM_Linear,0.0,1.2229745951664124,2.9418089119283866,2.8420865662505674,2.260468877674717,4.423180476134264,2.4021777564859192,2.756819227866085,3.1391527557431824,3.2284659315627433
LogisticRegression,-1.2229745951664124,0.0,2.878257139986657,2.6538797366253735,2.0039157531616496,3.5941168986979615,2.0371136031036094,2.4221646752532946,2.647033205579784,2.8756390810028165
SVM_RBF,-2.9418089119283866,-2.878257139986657,0.0,0.49867262450557726,0.2185482074316247,1.5799228352301289,0.4707322414304246,0.42958399464526037,0.853473667016217,1.3830645310167724
ExtraTrees,-2.8420865662505674,-2.6538797366253735,-0.49867262450557726,0.0,-0.19021141012322146,0.93059446410286,0.15521402512043073,0.06642199175762467,0.4945851661775732,1.235678609265898
RandomForest,-2.260468877674717,-2.0039157531616496,-0.2185482074316247,0.19021141012322146,0.0,0.9663243857484245,0.40557570208804555,0.2913596346106117,0.5392560849989158,1.81020975337456
KNN,-4.423180476134264,-3.5941168986979615,-1.5799228352301289,-0.93059446410286,-0.9663243857484245,0.0,-0.6065173641306153,-0.7692455114700952,-0.28516775339152695,0.3814215576331266
LightGBM,-2.4021777564859192,-2.0371136031036094,-0.4707322414304246,-0.15521402512043073,-0.40557570208804555,0.6065173641306153,0.0,-0.13756050286502305,0.27729575013029517,1.519181531801141
GradientBoosting,-2.756819227866085,-2.4221646752532946,-0.42958399464526037,-0.06642199175762467,-0.2913596346106117,0.7692455114700952,0.13756050286502305,0.0,0.3871662874320784,1.9546082597091607
NaiveBayes,-3.1391527557431824,-2.647033205579784,-0.853473667016217,-0.4945851661775732,-0.5392560849989158,0.28516775339152695,-0.27729575013029517,-0.3871662874320784,0.0,0.5103619440447313
XGBoost,-3.2284659315627433,-2.8756390810028165,-1.3830645310167724,-1.235678609265898,-1.81020975337456,-0.3814215576331266,-1.519181531801141,-1.9546082597091607,-0.5103619440447313,0.0
