Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
XGBoost,0.771 ± 0.083,0.822 ± 0.029,0.700 ± 0.152,0.699 ± 0.149,0.720 ± 0.084,0.743 ± 0.219,0.721 ± 0.143,0.656 ± 0.160,8.400 ± 4.336
KNN,0.755 ± 0.114,0.824 ± 0.053,0.727 ± 0.074,0.743 ± 0.090,0.800 ± 0.128,0.709 ± 0.228,0.719 ± 0.089,0.778 ± 0.176,8.400 ± 4.336
RandomForest,0.748 ± 0.136,0.815 ± 0.070,0.707 ± 0.143,0.708 ± 0.144,0.742 ± 0.100,0.719 ± 0.225,0.716 ± 0.143,0.698 ± 0.178,8.400 ± 4.336
SVM_Linear,0.736 ± 0.097,0.774 ± 0.059,0.669 ± 0.154,0.670 ± 0.156,0.705 ± 0.094,0.726 ± 0.257,0.692 ± 0.153,0.613 ± 0.256,8.400 ± 4.336
ExtraTrees,0.729 ± 0.125,0.797 ± 0.054,0.687 ± 0.151,0.696 ± 0.147,0.741 ± 0.106,0.683 ± 0.262,0.687 ± 0.165,0.709 ± 0.177,8.400 ± 4.336
LightGBM,0.729 ± 0.159,0.806 ± 0.059,0.688 ± 0.148,0.688 ± 0.151,0.713 ± 0.094,0.720 ± 0.216,0.707 ± 0.143,0.656 ± 0.160,8.400 ± 4.336
NaiveBayes,0.713 ± 0.134,0.749 ± 0.082,0.656 ± 0.118,0.631 ± 0.115,0.686 ± 0.081,0.741 ± 0.252,0.684 ± 0.113,0.520 ± 0.372,8.400 ± 4.336
GradientBoosting,0.710 ± 0.128,0.767 ± 0.052,0.697 ± 0.132,0.704 ± 0.136,0.745 ± 0.072,0.696 ± 0.223,0.705 ± 0.132,0.711 ± 0.158,8.400 ± 4.336
LogisticRegression,0.670 ± 0.144,0.705 ± 0.119,0.664 ± 0.169,0.663 ± 0.172,0.694 ± 0.115,0.763 ± 0.260,0.704 ± 0.145,0.562 ± 0.336,8.400 ± 4.336
SVM_RBF,0.626 ± 0.212,0.688 ± 0.151,0.646 ± 0.172,0.644 ± 0.175,0.683 ± 0.120,0.751 ± 0.280,0.686 ± 0.158,0.538 ± 0.350,8.400 ± 4.336
