,XGBoost,KNN,RandomForest,SVM_Linear,ExtraTrees,LightGBM,NaiveBayes,GradientBoosting,LogisticRegression,SVM_RBF
XGBoost,1.0,0.39437773511557905,0.6128746792787384,0.15481340161387652,0.030347100268572774,0.23996231022635772,0.006426822403410127,0.36454625703726595,0.05713079559771876,0.009594114211916395
KNN,0.39437773511557905,1.0,0.5495025441235952,0.7113811433148898,0.2849899765441779,0.7791200576945599,0.11166841218602305,0.8344521908974344,0.4171219603622657,0.15014548463900554
RandomForest,0.6128746792787384,0.5495025441235952,1.0,0.2854293828182679,0.04827158311554635,0.3095706741003379,0.020441122567744135,0.6354058313751054,0.1329737911304334,0.023770051051571203
SVM_Linear,0.15481340161387652,0.7113811433148898,0.2854293828182679,1.0,0.4541770524295462,0.9608332401132834,0.07156483453344746,0.5264554533702666,0.22180227089810212,0.027671168292566432
ExtraTrees,0.030347100268572774,0.2849899765441779,0.04827158311554635,0.4541770524295462,1.0,0.5837183026265345,0.3141304278219388,0.2072726544880522,0.9667439489506067,0.36520777645225744
LightGBM,0.23996231022635772,0.7791200576945599,0.3095706741003379,0.9608332401132834,0.5837183026265345,1.0,0.23905614489449567,0.5709682361957471,0.6467864141444026,0.29125971596440714
NaiveBayes,0.006426822403410127,0.11166841218602305,0.020441122567744135,0.07156483453344746,0.3141304278219388,0.23905614489449567,1.0,0.05774853647194241,0.39015396991869145,0.9633394443687623
GradientBoosting,0.36454625703726595,0.8344521908974344,0.6354058313751054,0.5264554533702666,0.2072726544880522,0.5709682361957471,0.05774853647194241,1.0,0.255818153150686,0.07069755887065203
LogisticRegression,0.05713079559771876,0.4171219603622657,0.1329737911304334,0.22180227089810212,0.9667439489506067,0.6467864141444026,0.39015396991869145,0.255818153150686,1.0,0.06698690850594748
SVM_RBF,0.009594114211916395,0.15014548463900554,0.023770051051571203,0.027671168292566432,0.36520777645225744,0.29125971596440714,0.9633394443687623,0.07069755887065203,0.06698690850594748,1.0
