feature,variance,log10_variance
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.04525837185575885,-1.3443010735881809
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.04748643221223304,-1.3234304589358175
Post2_IB_IntensityBasedCoefficientOfVariation,0.05076667790748554,-1.294421255213048
Pre_IH_IntensityHistogramCoefficientOfVariation_Intensity,0.05152657604067557,-1.2879687155946502
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.05527650548023572,-1.2574594203767542
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.06128155169142692,-1.2126702465913983
Pre_IH_IntensityHistogramEntropyLog10_Intensity,0.061952697044054233,-1.2079397823260418
Pre_IB_IntensityBasedCoefficientOfVariation,0.06825909440885868,-1.1658394777832828
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.07046506604559515,-1.1520261366729434
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.07206098336471863,-1.1422998156606983
Post2_IH_IntensityHistogramEntropyLog10_Intensity,0.07579065180044071,-1.1203843579750281
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.08291194982285678,-1.0813828715178497
Pre_NGTDM_Contrast,0.08539954988282375,-1.0685444183447974
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.08702407910505998,-1.0603605637491913
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.09026772053778617,-1.0444675243058057
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.10213561608981826,-0.9908227870564175
Pre_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,0.10974492056124384,-0.9596155715217273
Post2_NGTDM_Contrast,0.1129996761777107,-0.9469228010652578
Pre_GLRLM_RunLengthVariance,0.11462160711997736,-0.9407335065493643
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.11855861498721683,-0.9260668828000388
Pre_GLRLM_LongRunLowGreyLevelEmphasis,0.17085030488015532,-0.7673842418691093
Pre_Morph_CentreOfMassShift_mm,0.17954606290721448,-0.7458241136567272
Post2_Morph_CentreOfMassShift_mm,0.18491840625362657,-0.7330198582460905
Pre_GLCM_JointEntropyLog10,0.21616220545289533,-0.6652202372914625
Post2_GLRLM_RunLengthVariance,0.24875937331461692,-0.6042205459488516
Post2_GLCM_JointEntropyLog10,0.2669075153500806,-0.5736391975517477
Pre_GLRLM_RunEntropy,0.32651819394103565,-0.4860926143629188
Post2_GLRLM_RunEntropy,0.36596731120662374,-0.43655770475903244
Post2_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,0.41523891623116016,-0.3817019511305228
Pre_GLRLM_LongRunsEmphasis,0.617191992060483,-0.20957971745346346
Post2_IB_IntensitySkewness,0.6717548273271933,-0.17278920398007294
Post2_IH_IntensityHistogramSkewness_Intensity,0.6775296678815861,-0.1690716830135635
Pre_IH_IntensityHistogramEntropyLog2_Intensity,0.683660790781496,-0.16515932698177577
Pre_IH_IntensityHistogramSkewness_Intensity,0.6997785542439287,-0.15503937124980213
Pre_IB_IntensitySkewness,0.717249894522314,-0.14432950694804425
Post2_IH_IntensityHistogramEntropyLog2_Intensity,0.8363654757556662,-0.07760390268103833
Pre_GLSZM_ZoneSizeEntropy,0.8398503995082498,-0.07579806685932321
Post2_GLSZM_ZoneSizeEntropy,0.8515529601049798,-0.06978833705363845
Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,0.9711595455930029,-0.012709416766362879
Post2_GLRLM_LongRunLowGreyLevelEmphasis,0.9872519646470945,-0.005571993337199567
Post2_GLRLM_LongRunsEmphasis,1.4045997541533546,0.14755258806615967
Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,1.467902029245576,0.16669707085427285
Post2_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,1.7129933404134725,0.23375567456687166
Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,2.3207469329767383,0.3656277851765301
Pre_GLCM_JointEntropyLog2,2.3853945234892713,0.37756021784363974
Post2_IH_IntensityHistogramMinimumGreyLevel_Intensity,2.912557527942148,0.4642745121702209
Post2_GLCM_JointEntropyLog2,2.9453794863877665,0.4691412577740724
Post2_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,3.1495903839068182,0.49825407582898945
Post2_GLCM_SumEntropy,3.345638734180589,0.5244790435534467
Post2_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,3.8438703954916034,0.5847687360539237
Pre_GLCM_SumEntropy,4.316205371688005,0.6351021009018135
Pre_IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,4.672564244525981,0.6695552813407037
Post2_GLCM_DifferenceEntropy,4.70941923714887,0.6729673534871959
Post2_IH_IntensityHistogramKurtosis_Intensity,4.85575023612095,0.686256339956891
Post2_IB_IntensityKurtosis,5.002663910947711,0.6992013270842304
Pre_GLCM_DifferenceEntropy,5.055714826680339,0.7037825690932483
Pre_GLCM_DifferenceAverage,5.128167650435908,0.7099622147302376
Pre_GLCM_Dissimilarity,5.128167650435908,0.7099622147302376
Pre_IH_IntensityHistogramMinimumGreyLevel_Intensity,5.301921250639195,0.7244332728753083
Pre_IH_IntensityHistogramKurtosis_Intensity,5.6065137025655005,0.7486928879245989
Pre_IB_IntensityKurtosis,5.742377387610439,0.7590917308235701
Post2_IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,6.014306647483596,0.7791855674152023
Post2_GLCM_Dissimilarity,6.091227723875297,0.7847048361414065
Post2_GLCM_DifferenceAverage,6.091227723875297,0.7847048361414065
Pre_IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,6.7740261815203375,0.8308468708542671
Pre_IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,6.907469606846718,0.8393189826790501
Post2_IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,8.455907161799374,0.927160206165602
Post2_IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,8.464142423262228,0.927582962479026
Pre_NGTDM_Busyness,8.718617352295603,0.9404476175152566
Pre_IH_IntensityHistogramStd_Intensity,9.027559031741168,0.9555703369854396
Post2_Morph_Compacity,10.338553081622537,1.014459761907125
Pre_Morph_Compacity,10.338553081622537,1.014459761907125
Post2_IH_IntensityHistogramStd_Intensity,10.848678899417862,1.0353768550854623
Post2_Morph_SurfaceToVolumeRatio_cm,11.98352264714301,1.0785845009695219
Pre_Morph_SurfaceToVolumeRatio_cm,11.98352264714301,1.0785845009695219
Post2_Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,15.977326919477482,1.2035041215845388
Post2_IH_IntensityHistogram10thPercentile,18.13675213675213,1.258559517819184
Pre_IH_IntensityHistogram10thPercentile,20.232449411936607,1.306048463180798
Pre_Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,23.22754501224841,1.3660033103609115
Pre_IH_IntensityHistogramInterquartileRange_Intensity,27.959821754693543,1.4465343984327519
Pre_IH_IntensityHistogram25thPercentile,28.284608079479877,1.451550165395748
Post2_IH_IntensityHistogram25thPercentile,31.487179487179485,1.4981337597786635
Pre_IH_IntensityHistogramMean_Intensity,34.06743234812965,1.5323394021601795
Post2_IH_IntensityHistogramInterquartileRange_Intensity,38.248520710059175,1.5826146431528676
Pre_GLCM_JointAverage,39.48033339746021,1.5963808114764826
Pre_IH_IntensityHistogramMedian_Intensity,43.41807290525239,1.6376705435498242
Pre_IH_IntensityHistogram50thPercentile,43.41807290525239,1.6376705435498242
Post2_IH_IntensityHistogramMean_Intensity,48.91774661789517,1.689466443173055
Pre_NGTDM_Strength,55.92984537634772,1.7476436186793773
Post2_GLCM_JointAverage,58.77431051127728,1.7691875430644621
Post2_IH_IntensityHistogramMedian_Intensity,59.28468113083498,1.7729424883084242
Post2_IH_IntensityHistogram50thPercentile,59.28468113083498,1.7729424883084242
Pre_Morph_SphereDiameter_mm,59.572304172821184,1.7750443983226007
Post2_Morph_SphereDiameter_mm,59.572304172821184,1.7750443983226007
Pre_IH_IntensityHistogram75thPercentile,60.73767258382643,1.7834581461043606
Pre_IH_MaximumHistogramGradientGreyLevel_Intensity,64.18993352326683,1.8074669259180696
Pre_IH_IntensityHistogram90thPercentile,73.92300387172183,1.868779606188344
Pre_IH_IntensityHistogramMode_Intensity,76.89546351084819,1.8859007191210675
Post2_IH_MaximumHistogramGradientGreyLevel_Intensity,80.0580027759515,1.9034047514672843
Post2_NGTDM_Busyness,88.12664596062882,1.9451072414881743
Post2_NGTDM_Strength,88.81445418008532,1.948483651136893
Post2_IH_IntensityHistogram75thPercentile,92.96646942800791,1.968326338143538
Post2_IH_IntensityHistogramMode_Intensity,101.50836438015932,2.0065018299780903
Pre_IH_IntensityHistogramMaximumGreyLevel_Intensity,102.32317919497407,2.0099740252683396
Pre_IH_MinimumHistogramGradientGreyLevel_Intensity,104.31835780553737,2.0183607417160037
Post2_IH_IntensityHistogram90thPercentile,108.78910073781874,2.036585386846251
Pre_IH_IntensityHistogramRange_Intensity,118.80604865220253,2.0748385520037904
Post2_IH_MinimumHistogramGradientGreyLevel_Intensity,122.81934399883099,2.0892667734040042
Pre_Morph_Maximum3DDiameter_mm,127.08726963130898,2.104102049328417
Post2_Morph_Maximum3DDiameter_mm,127.08726963130898,2.104102049328417
Post2_IH_IntensityHistogramMaximumGreyLevel_Intensity,138.7106435824384,2.142109786752961
Post2_IH_IntensityHistogramRange_Intensity,144.41478559427276,2.1596116598075676
Pre_GLCM_SumAverage,157.92133361803982,2.198440802881986
Pre_GLCM_DifferenceVariance,209.58208726692604,2.321354161262223
Post2_GLCM_DifferenceVariance,210.3487763193228,2.3229399899003833
Post2_Morph_Volume_cm3,226.02818867675134,2.35416260473746
Pre_Morph_Volume_cm3,226.02818867675134,2.35416260473746
Post2_Morph_ApproximateVolume_cm3,226.32821055489808,2.3547386897246794
Pre_Morph_ApproximateVolume_cm3,226.32821055489808,2.3547386897246794
Post2_GLCM_SumAverage,235.0972420259443,2.371247534357016
Post2_Morph_SurfaceArea_cm2,534.8741167314771,2.7282515823170197
Pre_Morph_SurfaceArea_cm2,534.8741167314771,2.7282515823170197
Pre_IB_IntensityBasedRobustMeanAbsoluteDeviation,872.5889630534577,2.9408097155092774
Pre_IB_MinimumIntensity,1132.5547540510354,3.0540592074242983
