precision,recall,threshold
0.5614035087719298,1.0,0.028513423009234637
0.5663716814159292,1.0,0.05398533644482744
0.5714285714285714,1.0,0.10779211161652504
0.5675675675675675,0.984375,0.12168554557746665
0.5727272727272728,0.984375,0.12419072384306383
0.5688073394495413,0.96875,0.13441593627461437
0.5740740740740741,0.96875,0.16155403808145127
0.5700934579439252,0.953125,0.18679879685496947
0.5754716981132075,0.953125,0.195860786225108
0.580952380952381,0.953125,0.20139251487289228
0.5769230769230769,0.9375,0.22543755061911822
0.5728155339805825,0.921875,0.2447171271956742
0.5686274509803921,0.90625,0.2640410962584769
0.5742574257425742,0.90625,0.2860320886685711
0.57,0.890625,0.29753400462155527
0.5757575757575758,0.890625,0.3030238353516504
0.5714285714285714,0.875,0.3039262493731103
0.5773195876288659,0.875,0.31631311026045383
0.5833333333333334,0.875,0.3705901700601192
0.5894736842105263,0.875,0.37646157730457547
0.5957446808510638,0.875,0.38304508283177285
0.6021505376344086,0.875,0.38831118059995806
0.5978260869565217,0.859375,0.3912849003781379
0.5934065934065934,0.84375,0.414104868481322
0.6,0.84375,0.4161583257293632
0.6067415730337079,0.84375,0.41906685289540296
0.6136363636363636,0.84375,0.41928281362883213
0.6206896551724138,0.84375,0.4202344042521909
0.6162790697674418,0.828125,0.42333356243445536
0.6235294117647059,0.828125,0.4289743447747282
0.6190476190476191,0.8125,0.4295303438894849
0.6265060240963856,0.8125,0.4511618606016763
0.6341463414634146,0.8125,0.46234517117524204
0.6296296296296297,0.796875,0.46403196739058716
0.6375,0.796875,0.4683073003476854
0.6329113924050633,0.78125,0.4699989173337594
0.6282051282051282,0.765625,0.47129516687118367
0.6233766233766234,0.75,0.47151134306125625
0.631578947368421,0.75,0.47230388860727274
0.6266666666666667,0.734375,0.47764239137026765
0.6351351351351351,0.734375,0.4822615817933996
0.6438356164383562,0.734375,0.48328574560456616
0.6527777777777778,0.734375,0.4916411147750563
0.647887323943662,0.71875,0.49367741785475855
0.6428571428571429,0.703125,0.5
0.6567164179104478,0.6875,0.5108408604013894
0.6666666666666666,0.6875,0.5114550456858895
0.6615384615384615,0.671875,0.5149508732320593
0.671875,0.671875,0.518645964074219
0.6666666666666666,0.65625,0.5205828682438295
0.6774193548387096,0.65625,0.5211933521778259
0.6885245901639344,0.65625,0.5214459026452238
0.7,0.65625,0.5221780213607428
0.711864406779661,0.65625,0.5268364165631109
0.7068965517241379,0.640625,0.529898132072455
0.7017543859649122,0.625,0.5313466868364868
0.7142857142857143,0.625,0.5313919756000014
0.7090909090909091,0.609375,0.5335574655619656
0.7037037037037037,0.59375,0.5339788122704276
0.6981132075471698,0.578125,0.535450030890884
0.7115384615384616,0.578125,0.5413884085869015
0.7254901960784313,0.578125,0.5459272611393101
0.72,0.5625,0.5478079916875231
0.7142857142857143,0.546875,0.5517606649665905
0.7291666666666666,0.546875,0.5535552092665222
0.7446808510638298,0.546875,0.5560257020225712
0.7391304347826086,0.53125,0.5563722522672032
0.7555555555555555,0.53125,0.571633269517403
0.75,0.515625,0.5724592695813507
0.7441860465116279,0.5,0.5734189009391646
0.7619047619047619,0.5,0.5785824289530093
0.7560975609756098,0.484375,0.5791748141034506
0.75,0.46875,0.5818280796799371
0.7435897435897436,0.453125,0.5831458275137774
0.7631578947368421,0.453125,0.5851710451157227
0.7567567567567568,0.4375,0.5929244986221416
0.7777777777777778,0.4375,0.6016031332080662
0.8,0.4375,0.601888728926084
0.7941176470588235,0.421875,0.6173012747699407
0.7878787878787878,0.40625,0.63425555929571
0.78125,0.390625,0.6464015412714854
0.7741935483870968,0.375,0.6491491783305012
0.7666666666666667,0.359375,0.6517961670545095
0.7931034482758621,0.359375,0.6523591910866203
0.8214285714285714,0.359375,0.6566893179356496
0.8148148148148148,0.34375,0.6661267162304363
0.8076923076923077,0.328125,0.6662803018101885
0.84,0.328125,0.6736982496672043
0.875,0.328125,0.6855887472690447
0.8695652173913043,0.3125,0.6857559559882014
0.9090909090909091,0.3125,0.6997771706422035
0.9523809523809523,0.3125,0.7066966733901077
1.0,0.3125,0.7082450326702884
1.0,0.296875,0.7157823450227476
1.0,0.28125,0.729987739833992
1.0,0.265625,0.7384781248973727
1.0,0.25,0.7525772201893962
1.0,0.234375,0.7579422822104561
1.0,0.21875,0.761739778780012
1.0,0.203125,0.7681431393974165
1.0,0.1875,0.7703465504703881
1.0,0.171875,0.772642119990942
1.0,0.15625,0.7984516909811429
1.0,0.140625,0.8036022123011038
1.0,0.125,0.8143118690052781
1.0,0.109375,0.8172604643309016
1.0,0.09375,0.8224953826138572
1.0,0.078125,0.8982431690714447
1.0,0.0625,0.8986566177840997
1.0,0.046875,0.9126346655523944
1.0,0.03125,0.9262301403099092
1.0,0.015625,0.9723978044374567
1.0,0.0,
