metric,mean,std,min,max,pooled
AUC,0.814325396825397,0.05714732125419893,0.7277777777777777,0.9047619047619049,0.7806349206349206
PR_AUC,0.8606411169765144,0.06232248787747185,0.7813744588744589,0.9564643689643688,0.8294867254553897
Accuracy,0.6781792717086834,0.044257561252121755,0.6428571428571429,0.7647058823529411,0.672566371681416
Bal_Accuracy,0.6964285714285715,0.03590250227967471,0.6666666666666667,0.7638888888888888,0.6733333333333333
F1_Score,0.6981491938013676,0.047782713213945914,0.6363636363636364,0.7777777777777778,0.6942148760330579
Precision,0.7416666666666667,0.1183737541814584,0.5833333333333334,0.8888888888888888,0.7241379310344828
Recall,0.6876190476190475,0.10995956562327107,0.5555555555555556,0.8333333333333334,0.6666666666666666
