Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count,Rank_Mean_AUC,Rank_Pooled_AUC,Rank_Mean_PR_AUC,Rank_Pooled_PR_AUC,Rank_Mean_Bal_Acc,Rank_Pooled_Bal_Acc,Rank_Mean_F1,Rank_Pooled_F1,Rank_N_Unique_Selected_Features,Composite_Rank_Score
GradientBoosting,0.7181649831649832,0.0938019152284476,0.7059171597633136,0.7315138787255782,0.1709812042997567,0.7467048700065129,0.6531862880249977,0.1278696014054079,0.6837606837606838,0.676969696969697,0.0794684511847351,0.6711538461538462,0.6612781954887218,0.1628442073709761,0.6891891891891891,0.805050505050505,0.1731259980856183,0.7846153846153846,0.6976459576459576,0.1220855622582151,0.7338129496402878,0.5488888888888889,0.1709234179824836,0.5576923076923077,8.0,8.0,0.0,8,8.0,8,legacy_elasticnet_then_mrmr_k8_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/T2/fs_method_comparison/legacy_elasticnet_then_mrmr_k8_no_smote,legacy_elasticnet_then_mrmr_k8,elasticnet_then_mrmr,8,False,28,3,1.4285714285714286,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.2222222222222223
RandomForest,0.7069612794612794,0.1077056025998141,0.6748520710059172,0.7340248285891668,0.1711707839354413,0.684888981740292,0.6155794504181602,0.1121096195395833,0.6410256410256411,0.6307954545454545,0.0816121845590669,0.6365384615384615,0.6429239766081871,0.1591690401810055,0.676923076923077,0.6771464646464647,0.1608437190852873,0.676923076923077,0.6355555555555557,0.1328476800692739,0.676923076923077,0.5844444444444444,0.1347333901442143,0.5961538461538461,10.0,10.0,0.0,10,10.0,10,legacy_elasticnet_then_mrmr_k10_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/T2/fs_method_comparison/legacy_elasticnet_then_mrmr_k10_no_smote,legacy_elasticnet_then_mrmr_k10,elasticnet_then_mrmr,10,False,31,3,1.6129032258064515,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.111111111111111
ExtraTrees,0.6615432098765431,0.1036510742408481,0.5828402366863905,0.7073512336947237,0.0701624818466707,0.6324290557833894,0.5891021045859756,0.0633479803654018,0.5982905982905983,0.6008585858585859,0.0703963976584411,0.5884615384615385,0.6092171717171717,0.1126872258796052,0.6285714285714286,0.7217171717171718,0.1491628212393341,0.676923076923077,0.6396319182609504,0.0587440673453951,0.6518518518518519,0.48,0.1180918244941015,0.5,6.0,6.0,0.0,6,6.0,6,legacy_elasticnet_then_mrmr_k6_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/T2/fs_method_comparison/legacy_elasticnet_then_mrmr_k6_no_smote,legacy_elasticnet_then_mrmr_k6,elasticnet_then_mrmr,6,False,24,2,1.25,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.6666666666666665
