Quad_Tag,Dataset_A,Dataset_B,Dataset_C,Dataset_D,Experiment_ID,FS_METHOD,Best_Model_No_SMOTE,Best_Model_SMOTE,Run_Name_No_SMOTE,Run_Name_SMOTE,Mean_AUC_No_SMOTE,Mean_AUC_SMOTE,Delta_Mean_AUC_SMOTE_minus_No_SMOTE,Std_AUC_No_SMOTE,Std_AUC_SMOTE,Delta_Std_AUC_SMOTE_minus_No_SMOTE,Pooled_AUC_No_SMOTE,Pooled_AUC_SMOTE,Delta_Pooled_AUC_SMOTE_minus_No_SMOTE,Mean_PR_AUC_No_SMOTE,Mean_PR_AUC_SMOTE,Delta_Mean_PR_AUC_SMOTE_minus_No_SMOTE,Pooled_PR_AUC_No_SMOTE,Pooled_PR_AUC_SMOTE,Delta_Pooled_PR_AUC_SMOTE_minus_No_SMOTE,Mean_Bal_Acc_No_SMOTE,Mean_Bal_Acc_SMOTE,Delta_Mean_Bal_Acc_SMOTE_minus_No_SMOTE,Pooled_Bal_Acc_No_SMOTE,Pooled_Bal_Acc_SMOTE,Delta_Pooled_Bal_Acc_SMOTE_minus_No_SMOTE,Mean_F1_No_SMOTE,Mean_F1_SMOTE,Delta_Mean_F1_SMOTE_minus_No_SMOTE,Pooled_F1_No_SMOTE,Pooled_F1_SMOTE,Delta_Pooled_F1_SMOTE_minus_No_SMOTE,Avg_Features_No_SMOTE,Avg_Features_SMOTE,Delta_Avg_Features_SMOTE_minus_No_SMOTE,N_Unique_Selected_Features_No_SMOTE,N_Unique_Selected_Features_SMOTE,Delta_N_Unique_Selected_Features_SMOTE_minus_No_SMOTE
ADC_Post1_Post2_Pre,ADC,Post1,Post2,Pre,corr_mrmr_auto_k,corr_mrmr,LogisticRegression,LogisticRegression,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7088888888888889,0.7050396825396825,-0.00384920634920638,0.0805114039611808,0.0754159958919986,-0.005095408069182197,0.7028571428571428,0.7003174603174603,-0.0025396825396825085,0.7593533958069931,0.757038996030261,-0.00231439977673209,0.7176178919088438,0.7274361470563435,0.009818255147499677,0.6579365079365079,0.6554365079365079,-0.0025000000000000577,0.6312698412698412,0.6292063492063492,-0.0020634920634919895,0.6809516379496097,0.6827951103813172,0.0018434724317075712,0.6771653543307087,0.6821705426356589,0.0050051883049502255,9.6,9.6,0.0,38,38,0
ADC_Post1_Post2_Pre,ADC,Post1,Post2,Pre,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_RBF,SVM_RBF,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.8125,0.8057539682539682,-0.006746031746031833,0.0353375188268145,0.0443603938804142,0.0090228750535997,0.765079365079365,0.7806349206349207,0.015555555555555656,0.848908421123077,0.8331315471256149,-0.015776873997462082,0.823823126081703,0.8077187212172838,-0.01610440486441922,0.6997222222222222,0.7300396825396825,0.0303174603174603,0.6847619047619048,0.7309523809523809,0.046190476190476115,0.7505298142717497,0.7594125159642401,0.008882701692490391,0.75,0.7619047619047619,0.011904761904761862,7.6,7.6,0.0,21,21,0
ADC_Post1_Post2_Pre,ADC,Post1,Post2,Pre,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,NaiveBayes,LogisticRegression,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.7723809523809524,0.7751984126984126,0.0028174603174602186,0.072223356000171,0.0505294467978938,-0.021693909202277206,0.6704761904761904,0.7536507936507937,0.08317460317460323,0.772094769625662,0.8275829254247583,0.05548815579909627,0.6893426755286183,0.8057047435726976,0.11636206804407934,0.6396428571428572,0.6666269841269842,0.026984126984127,0.6292063492063492,0.655079365079365,0.025873015873015826,0.6765491288817861,0.7061067197909303,0.029557590909144227,0.6821705426356589,0.7076923076923077,0.025521765056648826,10.0,10.0,0.0,41,41,0
ADC_Post1_Post2_T2,ADC,Post1,Post2,T2,corr_mrmr_auto_k,corr_mrmr,RandomForest,GradientBoosting,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.668968253968254,0.6526190476190477,-0.016349206349206336,0.1222011938207929,0.0947688838460549,-0.027432309974738,0.6555555555555556,0.6417460317460317,-0.013809523809523827,0.7763918097890977,0.7027395601678512,-0.0736522496212465,0.7565212720083148,0.6923986118417351,-0.06412266016657964,0.6415873015873016,0.616388888888889,-0.02519841269841261,0.6474603174603175,0.6453968253968254,-0.0020634920634921006,0.6603524907586692,0.657411553963278,-0.0029409367953912025,0.6666666666666666,0.6721311475409836,0.005464480874316946,6.8,6.8,0.0,30,30,0
ADC_Post1_Post2_T2,ADC,Post1,Post2,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_RBF,SVM_RBF,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.805,0.806031746031746,0.0010317460317459393,0.0604945187408085,0.0569692026262523,-0.0035253161145562054,0.765079365079365,0.7780952380952381,0.013015873015873036,0.8463073307070615,0.8443411704912884,-0.001966160215773116,0.8262420245015072,0.8311314816169346,0.004889457115427431,0.7184126984126984,0.7198412698412697,0.0014285714285713347,0.6988888888888889,0.715079365079365,0.01619047619047609,0.7538003629764065,0.7462243731935201,-0.0075759897828864275,0.7480916030534351,0.7419354838709677,-0.00615611918246739,7.6,7.6,0.0,26,26,0
ADC_Post1_Post2_T2,ADC,Post1,Post2,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,SVM_RBF,RandomForest,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.7356746031746032,0.7300793650793651,-0.0055952380952380976,0.0907186947782128,0.0470939300378475,-0.0436247647403653,0.7134920634920636,0.7050793650793651,-0.008412698412698538,0.8092326726612071,0.7812428343957165,-0.02798983826549062,0.7751387288777192,0.7419063454381019,-0.03323238343961732,0.6678968253968254,0.6671825396825397,-0.0007142857142856673,0.6630158730158731,0.6533333333333333,-0.009682539682539737,0.7204087140929246,0.6798321891685737,-0.04057652492435093,0.7175572519083969,0.6829268292682927,-0.034630422640104186,8.0,8.0,0.0,30,30,0
ADC_Post1_Pre_T2,ADC,Post1,Pre,T2,corr_mrmr_auto_k,corr_mrmr,RandomForest,RandomForest,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7115079365079364,0.6912301587301586,-0.02027777777777784,0.1066579267016488,0.1415727312952945,0.034914804593645696,0.6580952380952381,0.66,0.0019047619047619646,0.7708227713128445,0.7613347481729889,-0.00948802313985564,0.6777300069708202,0.7278871772771707,0.050157170306350474,0.6366269841269842,0.6315873015873016,-0.005039682539682566,0.6392063492063491,0.6233333333333333,-0.015873015873015817,0.6893039049235993,0.6771485570112572,-0.012155347912342074,0.6875,0.6666666666666666,-0.02083333333333337,14.0,14.0,0.0,46,46,0
ADC_Post1_Pre_T2,ADC,Post1,Pre,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,ExtraTrees,SVM_Linear,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.7451984126984127,0.7426984126984127,-0.0024999999999999467,0.0599020259130757,0.1100498066310494,0.05014778071797369,0.7203174603174602,0.7284126984126983,0.008095238095238044,0.7984424634760969,0.8050676802707615,0.006625216794664546,0.7831694580285102,0.7850662571470493,0.0018967991185390165,0.6729761904761905,0.6731746031746031,0.00019841269841258669,0.6533333333333333,0.6533333333333333,0.0,0.6803809523809523,0.6854848216917182,0.005103869310765896,0.6829268292682927,0.6829268292682927,0.0,10.4,10.4,0.0,33,33,0
ADC_Post1_Pre_T2,ADC,Post1,Pre,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,SVM_RBF,LightGBM,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.7231746031746031,0.731111111111111,0.007936507936507908,0.0809066942352958,0.0986302638613399,0.0177235696260441,0.6869841269841269,0.7428571428571429,0.05587301587301596,0.7718159501811295,0.7824336762152567,0.01061772603412725,0.739482529306529,0.7909706867668371,0.051488157460308104,0.6831746031746031,0.7138095238095238,0.03063492063492068,0.6588888888888889,0.715079365079365,0.056190476190476124,0.7266666666666667,0.7176414565826331,-0.009025210084033564,0.725925925925926,0.7419354838709677,0.016009557945041775,9.2,9.2,0.0,35,35,0
ADC_Post2_Pre_T2,ADC,Post2,Pre,T2,corr_mrmr_auto_k,corr_mrmr,ExtraTrees,SVM_RBF,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7203771250900437,0.7095426928202048,-0.010834432269838934,0.1193292488647575,0.0693767923370859,-0.04995245652767161,0.6290625000000001,0.6318750000000001,0.0028124999999999956,0.8162931000552011,0.7889609630289293,-0.027332137026271797,0.7080245988037552,0.7281543991840038,0.020129800380248586,0.6780396065922382,0.5904891015417331,-0.0875505050505051,0.6446875000000001,0.565625,-0.07906250000000004,0.657857440466136,0.5698653198653199,-0.08799212060081618,0.6554621848739496,0.576271186440678,-0.0791909984332716,15.6,15.6,0.0,58,58,0
