,NaiveBayes,GradientBoosting,XGBoost,SVM_Linear,LogisticRegression,LightGBM,ExtraTrees,RandomForest,SVM_RBF,KNN
NaiveBayes,1.0,0.15177289472981956,0.2499432895935776,0.12382585933606977,0.16560987725533993,0.12082571755157616,0.16596239723025052,0.25829338477332897,0.03639594816998784,0.054200964376345986
GradientBoosting,0.15177289472981956,1.0,0.8167771921516919,0.874124748010302,0.6833301911860525,0.8094177888327577,0.8670968921705906,0.5754995459233954,0.736912296388747,0.5838174820281341
XGBoost,0.2499432895935776,0.8167771921516919,1.0,0.9807950983815302,0.8590038758192599,0.6016428629510115,0.9754283605804407,0.8240612561730809,0.6518510674224163,0.5009051231631333
SVM_Linear,0.12382585933606977,0.874124748010302,0.9807950983815302,1.0,0.5489242541517645,0.7273988003202077,0.9944765722984249,0.8249431140248009,0.5391675765056503,0.47641902851388185
LogisticRegression,0.16560987725533993,0.6833301911860525,0.8590038758192599,0.5489242541517645,1.0,0.5592641613865199,0.8051640210680898,0.9889897671483565,0.3365480053010971,0.33224722601818424
LightGBM,0.12082571755157616,0.8094177888327577,0.6016428629510115,0.7273988003202077,0.5592641613865199,1.0,0.7440048038197506,0.5296626773656692,0.8921012322949434,0.748461550321428
ExtraTrees,0.16596239723025052,0.8670968921705906,0.9754283605804407,0.9944765722984249,0.8051640210680898,0.7440048038197506,1.0,0.7703804337378811,0.6069646576946186,0.3986366164817391
RandomForest,0.25829338477332897,0.5754995459233954,0.8240612561730809,0.8249431140248009,0.9889897671483565,0.5296626773656692,0.7703804337378811,1.0,0.49601076626512575,0.35446294647521925
SVM_RBF,0.03639594816998784,0.736912296388747,0.6518510674224163,0.5391675765056503,0.3365480053010971,0.8921012322949434,0.6069646576946186,0.49601076626512575,1.0,0.8251699227027505
KNN,0.054200964376345986,0.5838174820281341,0.5009051231631333,0.47641902851388185,0.33224722601818424,0.748461550321428,0.3986366164817391,0.35446294647521925,0.8251699227027505,1.0
