Quad_Tag,Dataset_A,Dataset_B,Dataset_C,Dataset_D,Rows_After_Merge,N_Features_Total,Label_Counts,FS_METHOD,FS_N_FEATURES,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Pooled_PR_AUC,Mean_Bal_Acc,Pooled_Bal_Acc,Mean_F1,Pooled_F1,Avg_Features,N_Unique_Selected_Features,Run_Name,Run_Dir,Final_Status,Result_Error
ADC_Post1_Post2_Pre,ADC,Post1,Post2,Pre,113,580,"{""0"": 50, ""1"": 63}",elasticnet_then_mrmr,auto,SVM_RBF,0.8125,0.0353375188268145,0.765079365079365,0.848908421123077,0.823823126081703,0.6997222222222222,0.6847619047619048,0.7505298142717497,0.75,7.6,21,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,success,
ADC_Post1_Post2_T2,ADC,Post1,Post2,T2,113,580,"{""0"": 50, ""1"": 63}",elasticnet_then_mrmr,auto,SVM_RBF,0.805,0.0604945187408085,0.765079365079365,0.8463073307070615,0.8262420245015072,0.7184126984126984,0.6988888888888889,0.7538003629764065,0.7480916030534351,7.6,26,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Post2_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,success,
ADC_Post2_Pre_T2,ADC,Post2,Pre,T2,114,580,"{""0"": 50, ""1"": 64}",elasticnet_then_mrmr,auto,SVM_RBF,0.7985230868723692,0.0776298598781189,0.7228125,0.8355788688644022,0.795871206733347,0.7068234981392876,0.6728125,0.732899984290418,0.7313432835820896,12.8,38,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post2_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,success,
Post1_Post2_Pre_T2,Post1,Post2,Pre,T2,116,580,"{""0"": 52, ""1"": 64}",elasticnet_then_mrmr,auto,SVM_RBF,0.7523062558356676,0.1849647835403156,0.658653846153846,0.8346301804775091,0.7080020743693619,0.5977941176470589,0.5865384615384616,0.6319887955182073,0.676056338028169,15.2,41,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/Post1_Post2_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,success,
ADC_Post1_Pre_T2,ADC,Post1,Pre,T2,113,580,"{""0"": 50, ""1"": 63}",mrmr_then_elasticnet_no_corr,auto,SVM_RBF,0.7231746031746031,0.0809066942352958,0.6869841269841269,0.7718159501811295,0.739482529306529,0.6831746031746031,0.6588888888888889,0.7266666666666667,0.725925925925926,9.2,35,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,success,
