fold,auc,pr_auc,accuracy,bal_accuracy,f1_score,precision,recall,n_features
1,0.75,0.7747608872608874,0.7083333333333334,0.7083333333333334,0.7407407407407407,0.6666666666666666,0.8333333333333334,14
2,0.575,0.4918498168498168,0.5416666666666666,0.6071428571428571,0.6451612903225806,0.47619047619047616,1.0,4
3,0.7916666666666666,0.7364197530864198,0.6470588235294118,0.6319444444444444,0.7272727272727273,0.6153846153846154,0.8888888888888888,18
4,0.7083333333333334,0.8493134675590817,0.7142857142857143,0.711111111111111,0.7647058823529411,0.8125,0.7222222222222222,10
5,0.6309523809523809,0.8148888809603095,0.65,0.6071428571428572,0.7407407407407407,0.7692307692307693,0.7142857142857143,16
