Model,Fold,ROC_AUC
LogisticRegression,1,0.9008264462809916
SVM_RBF,1,0.8760330578512396
SVM_Linear,1,0.8264462809917356
RandomForest,1,0.9256198347107438
GradientBoosting,1,0.884297520661157
ExtraTrees,1,0.8925619834710743
KNN,1,0.8099173553719008
NaiveBayes,1,0.8347107438016529
XGBoost,1,0.7438016528925621
LightGBM,1,0.8925619834710744
LogisticRegression,2,0.625
SVM_RBF,2,0.6083333333333334
SVM_Linear,2,0.6083333333333333
RandomForest,2,0.4833333333333333
GradientBoosting,2,0.5249999999999999
ExtraTrees,2,0.6
KNN,2,0.5875
NaiveBayes,2,0.6083333333333333
XGBoost,2,0.5750000000000001
LightGBM,2,0.625
LogisticRegression,3,0.8148148148148148
SVM_RBF,3,0.8425925925925926
SVM_Linear,3,0.8055555555555555
RandomForest,3,0.824074074074074
GradientBoosting,3,0.7314814814814814
ExtraTrees,3,0.8148148148148148
KNN,3,0.8055555555555556
NaiveBayes,3,0.6944444444444444
XGBoost,3,0.8425925925925927
LightGBM,3,0.8518518518518517
LogisticRegression,4,0.8195488721804511
SVM_RBF,4,0.8045112781954887
SVM_Linear,4,0.7819548872180451
RandomForest,4,0.774436090225564
GradientBoosting,4,0.8195488721804511
ExtraTrees,4,0.7744360902255639
KNN,4,0.7819548872180451
NaiveBayes,4,0.7293233082706767
XGBoost,4,0.8571428571428571
LightGBM,4,0.8045112781954887
LogisticRegression,5,0.8083333333333333
SVM_RBF,5,0.6833333333333333
SVM_Linear,5,0.7166666666666667
RandomForest,5,0.425
GradientBoosting,5,0.6041666666666666
ExtraTrees,5,0.4333333333333333
KNN,5,0.525
NaiveBayes,5,0.6166666666666667
XGBoost,5,0.425
LightGBM,5,0.425
