Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
NaiveBayes,0.779 ± 0.066,0.811 ± 0.076,0.701 ± 0.129,0.710 ± 0.134,0.759 ± 0.105,0.715 ± 0.224,0.713 ± 0.122,0.704 ± 0.219,8.000 ± 0.000
SVM_RBF,0.764 ± 0.119,0.828 ± 0.037,0.684 ± 0.053,0.696 ± 0.079,0.703 ± 0.111,0.765 ± 0.209,0.707 ± 0.058,0.627 ± 0.191,8.000 ± 0.000
LogisticRegression,0.753 ± 0.120,0.797 ± 0.074,0.704 ± 0.101,0.715 ± 0.106,0.734 ± 0.049,0.727 ± 0.232,0.709 ± 0.107,0.702 ± 0.115,8.000 ± 0.000
ExtraTrees,0.750 ± 0.144,0.820 ± 0.063,0.696 ± 0.137,0.725 ± 0.128,0.825 ± 0.120,0.619 ± 0.284,0.664 ± 0.175,0.831 ± 0.151,8.000 ± 0.000
RandomForest,0.741 ± 0.153,0.825 ± 0.069,0.682 ± 0.139,0.689 ± 0.143,0.752 ± 0.064,0.653 ± 0.259,0.674 ± 0.155,0.724 ± 0.196,8.000 ± 0.000
SVM_Linear,0.736 ± 0.130,0.789 ± 0.073,0.620 ± 0.095,0.638 ± 0.040,0.636 ± 0.164,0.790 ± 0.185,0.675 ± 0.102,0.487 ± 0.198,8.000 ± 0.000
KNN,0.702 ± 0.135,0.781 ± 0.031,0.628 ± 0.083,0.630 ± 0.118,0.633 ± 0.071,0.748 ± 0.160,0.675 ± 0.043,0.511 ± 0.115,8.000 ± 0.000
LightGBM,0.699 ± 0.144,0.777 ± 0.079,0.684 ± 0.101,0.691 ± 0.115,0.758 ± 0.142,0.677 ± 0.254,0.676 ± 0.118,0.704 ± 0.207,8.000 ± 0.000
GradientBoosting,0.697 ± 0.165,0.800 ± 0.054,0.587 ± 0.171,0.619 ± 0.084,0.634 ± 0.188,0.745 ± 0.228,0.643 ± 0.141,0.493 ± 0.292,8.000 ± 0.000
XGBoost,0.642 ± 0.134,0.755 ± 0.028,0.597 ± 0.060,0.616 ± 0.054,0.633 ± 0.132,0.696 ± 0.244,0.625 ± 0.096,0.536 ± 0.205,8.000 ± 0.000
