,NaiveBayes,SVM_RBF,LogisticRegression,ExtraTrees,RandomForest,SVM_Linear,KNN,LightGBM,GradientBoosting,XGBoost
NaiveBayes,1.0,0.9065422883819909,0.4398937507065501,0.22028891993899014,0.28735718645561514,0.36815218229472246,0.04738111512940336,0.12707357832287808,0.047283857553572985,0.012975099410558431
SVM_RBF,0.9065422883819909,1.0,0.32149219453157374,0.13690691108458758,0.24060850252067634,0.18186790684785836,0.027950144053587284,0.09448965820784647,0.029216797764806606,0.008201808720275542
LogisticRegression,0.4398937507065501,0.32149219453157374,1.0,0.056240765237384104,0.08253852356451069,0.007754237809540271,0.0148847610787571,0.019732937128648646,0.0046610215651081135,0.001803095507004032
ExtraTrees,0.22028891993899014,0.13690691108458758,0.056240765237384104,1.0,0.6816031426819193,0.5861920667258725,0.3518020446633249,0.5210847783273644,0.3678443073894805,0.0738828744229736
RandomForest,0.28735718645561514,0.24060850252067634,0.08253852356451069,0.6816031426819193,1.0,0.850571014335513,0.19288399849763394,0.215226924476693,0.13900119884478282,0.017598074888004692
SVM_Linear,0.36815218229472246,0.18186790684785836,0.007754237809540271,0.5861920667258725,0.850571014335513,1.0,0.16058001030624225,0.31171751654842716,0.16972456220795085,0.05265912962709665
KNN,0.04738111512940336,0.027950144053587284,0.0148847610787571,0.3518020446633249,0.19288399849763394,0.16058001030624225,1.0,0.7991089900808854,0.8395526559349562,0.5149961124141984
LightGBM,0.12707357832287808,0.09448965820784647,0.019732937128648646,0.5210847783273644,0.215226924476693,0.31171751654842716,0.7991089900808854,1.0,0.8845115629122838,0.19404156462697664
GradientBoosting,0.047283857553572985,0.029216797764806606,0.0046610215651081135,0.3678443073894805,0.13900119884478282,0.16972456220795085,0.8395526559349562,0.8845115629122838,1.0,0.21697587365001847
XGBoost,0.012975099410558431,0.008201808720275542,0.001803095507004032,0.0738828744229736,0.017598074888004692,0.05265912962709665,0.5149961124141984,0.19404156462697664,0.21697587365001847,1.0
