,NaiveBayes,SVM_RBF,LogisticRegression,ExtraTrees,RandomForest,SVM_Linear,KNN,LightGBM,GradientBoosting,XGBoost
NaiveBayes,0.0,-0.11740100414676921,-0.7723726450522928,1.2257602229464861,1.0639371185849893,0.8999399990433975,1.9828774942633038,1.5257442153671403,1.983748736103435,2.4844520137815387
SVM_RBF,0.11740100414676921,0.0,-0.9913961191212987,1.4874086599124594,1.1734672004707791,1.3350257866339406,2.1979854326279584,1.6721758142663714,2.180548906214523,2.643647229600535
LogisticRegression,0.7723726450522928,0.9913961191212987,0.0,1.9091653454260131,1.7361431656912383,2.662587622502626,2.435170818664516,2.3313874796378644,2.8295726549910376,3.1208831737655585
ExtraTrees,-1.2257602229464861,-1.4874086599124594,-1.9091653454260131,0.0,-0.4102764810526215,-0.5443624695765069,0.9310996016447319,0.6416741476423947,0.9005186452913855,1.7873380084245527
RandomForest,-1.0639371185849893,-1.1734672004707791,-1.7361431656912383,0.4102764810526215,0.0,-0.1883899028650011,1.30209474749694,1.239320244265042,1.4795207160182602,2.373968014196723
SVM_Linear,-0.8999399990433975,-1.3350257866339406,-2.662587622502626,0.5443624695765069,0.1883899028650011,0.0,1.4031235144632184,1.0116247309509825,1.373089379846902,1.9377057696786675
KNN,-1.9828774942633038,-2.1979854326279584,-2.435170818664516,-0.9310996016447319,-1.30209474749694,-1.4031235144632184,0.0,-0.2545004065078981,-0.20246571868178476,0.6510780384614727
LightGBM,-1.5257442153671403,-1.6721758142663714,-2.3313874796378644,-0.6416741476423947,-1.239320244265042,-1.0116247309509825,0.2545004065078981,0.0,0.14525244109558041,1.2987155527599477
GradientBoosting,-1.983748736103435,-2.180548906214523,-2.8295726549910376,-0.9005186452913855,-1.4795207160182602,-1.373089379846902,0.20246571868178476,-0.14525244109558041,0.0,1.2346094946850215
XGBoost,-2.4844520137815387,-2.643647229600535,-3.1208831737655585,-1.7873380084245527,-2.373968014196723,-1.9377057696786675,-0.6510780384614727,-1.2987155527599477,-1.2346094946850215,0.0
