Fold,n_train,n_test,n_features,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
1,90,27,2,"['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",NaiveBayes,0.5740740740740741,0.5925925925925926,0.5833333333333334,0.7148331089482882,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.5555555555555556,0.6140714285714286
2,97,20,2,"['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",NaiveBayes,0.7373737373737375,0.6,0.6363636363636364,0.8096221959858323,1.0,0.2727272727272727,0.42857142857142855,1.0,0.6921176470588235
3,86,31,2,"['Pre_D_P15', 'Pre_D_P18', 'Pre_D_P27', 'Pre_D_P41', 'Pre_D_P43', 'Pre_D_P46', 'Pre_D_P47', 'Pre_D_P50', 'Pre_D_P6']",NaiveBayes,0.7208333333333332,0.6451612903225806,0.6479166666666667,0.7303609487427555,0.6923076923076923,0.5625,0.6206896551724138,0.7333333333333333,0.7267581699346405
4,91,26,2,"['Pre_D_P11', 'Pre_D_P12', 'Pre_D_P17', 'Pre_D_P19', 'Pre_D_P21', 'Pre_D_P34', 'Pre_D_P35', 'Pre_D_P39']",NaiveBayes,0.6125,0.6153846153846154,0.59375,0.7384758062607327,0.6875,0.6875,0.6875,0.5,0.487010989010989
5,104,13,2,"['Pre_D_P2', 'Pre_D_P23', 'Pre_D_P28', 'Pre_D_P32', 'Pre_D_P37', 'Pre_D_P42', 'Pre_D_P44', 'Pre_D_P45', 'Pre_D_P9']",NaiveBayes,0.7777777777777779,0.7692307692307693,0.6944444444444444,0.5595238095238095,0.6666666666666666,0.5,0.5714285714285714,0.8888888888888888,0.6605
