Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features
XGBoost,0.6263433257918551,0.07896708646049827,0.6173076923076922,0.6770701249341248,0.09065570241896122,0.6670996567059309,0.5902298850574712,0.04326406854917444,0.5897435897435898,0.5854072398190044,0.04225493113049964,0.5846153846153845,0.6309027777777778,0.03385550211041254,0.6307692307692307,0.6323529411764706,0.0646787209035264,0.6307692307692307,0.6305147058823529,0.045214609839150155,0.6307692307692307,0.5384615384615384,0.05439282932204212,0.5384615384615384,2.0
LightGBM,0.6229850113122172,0.04620152490673128,0.5917159763313611,0.6718928343634444,0.06197252209493228,0.6115516380209602,0.5896551724137931,0.04913036844405173,0.5897435897435898,0.5763928167420815,0.05821718024068995,0.575,0.6237713675213675,0.055422542732468376,0.6133333333333333,0.7104779411764706,0.11632921711200815,0.7076923076923077,0.6548202614379085,0.043679973158267965,0.6571428571428571,0.4423076923076923,0.19134373790511922,0.4423076923076923,2.0
LogisticRegression,0.6136877828054298,0.08091028257138652,0.5869822485207101,0.6949049109553341,0.06678758539984703,0.6640729234520146,0.5560344827586207,0.060190689843831635,0.5555555555555556,0.5595658936651584,0.07006774732987749,0.5596153846153846,0.6441964285714286,0.08895810431871619,0.6181818181818182,0.5229779411764706,0.1350665195193435,0.5230769230769231,0.5585513520296128,0.07962446673399604,0.5666666666666667,0.5961538461538463,0.22010621427422303,0.5961538461538461,2.0
ExtraTrees,0.6091275452488688,0.09434371629165132,0.6005917159763313,0.6804398368408164,0.10187697104082791,0.6262504804160751,0.6066091954022987,0.032105559395751854,0.6068376068376068,0.6050622171945702,0.044588179781965914,0.6057692307692308,0.6770451770451771,0.07355709021253921,0.6557377049180327,0.6139705882352942,0.12323033648598801,0.6153846153846154,0.6287631473838371,0.045914096507243624,0.6349206349206349,0.5961538461538463,0.19892462370747307,0.5961538461538461,2.0
RandomForest,0.6021988122171946,0.09005229291545931,0.5926035502958581,0.6664455853391936,0.0979271150923472,0.6266248546026345,0.5899425287356322,0.05250606291549055,0.5897435897435898,0.5854072398190044,0.05428271398036749,0.5846153846153845,0.6332428804855276,0.048120862928476525,0.6307692307692307,0.6323529411764706,0.0646787209035264,0.6307692307692307,0.630761780518659,0.04698021915579929,0.6307692307692307,0.5384615384615384,0.09421114395319916,0.5384615384615384,2.0
SVM_Linear,0.5969315610859728,0.08759903896367642,0.5890532544378698,0.6873396514401706,0.06913555433808598,0.6662158010767705,0.5387931034482758,0.05366336033615833,0.5384615384615384,0.5403351244343892,0.06653432562992352,0.5403846153846155,0.6232257326007326,0.08160182993005748,0.5964912280701754,0.5229779411764706,0.1350665195193435,0.5230769230769231,0.5488803509793014,0.07119761087237551,0.5573770491803278,0.5576923076923077,0.23316068563427192,0.5576923076923077,2.0
GradientBoosting,0.5944570135746606,0.07991161476786107,0.6221893491124261,0.6402826492951026,0.07424206451168824,0.6530465824596692,0.5727011494252874,0.07845774857548417,0.5726495726495726,0.5715851244343891,0.07103374743901088,0.5711538461538461,0.6141456582633054,0.06651186627115015,0.6229508196721312,0.5854779411764706,0.14570551481673705,0.5846153846153846,0.5954414023673985,0.106459803145153,0.6031746031746031,0.5576923076923076,0.03330866937632459,0.5576923076923077,2.0
SVM_RBF,0.5724335407239819,0.08012185128493637,0.5600591715976331,0.6417572343172442,0.06541274825641726,0.61089151816815,0.5554597701149425,0.06483499896479493,0.5555555555555556,0.5370121606334841,0.06990761851208183,0.5365384615384615,0.5864127702362996,0.0561229257844332,0.5822784810126582,0.7086397058823529,0.11676412130354481,0.7076923076923077,0.6366437484084543,0.05932114517880286,0.6388888888888888,0.36538461538461536,0.17520064575277497,0.36538461538461536,2.0
KNN,0.5687924208144796,0.10721508279572066,0.5687869822485208,0.6143378863877489,0.07617090145896917,0.5971440604540648,0.5718390804597702,0.08223613805318496,0.5726495726495726,0.5647977941176471,0.0837896922569864,0.5653846153846154,0.612874097007224,0.0797429634986648,0.6119402985074627,0.6295955882352942,0.08060509799694364,0.6307692307692307,0.6199037679587964,0.07497049656822023,0.6212121212121212,0.5,0.11538461538461539,0.5,2.0
NaiveBayes,0.5610859728506787,0.09996621920010461,0.5437869822485207,0.6706386837631055,0.08070376467184438,0.6296438461596339,0.5129310344827587,0.04933415147525687,0.5128205128205128,0.5345022624434389,0.05346266299923334,0.5346153846153846,0.6625000000000001,0.19803724397193573,0.6111111111111112,0.3382352941176471,0.22694576295947788,0.3384615384615385,0.39166666666666666,0.1800848565414526,0.43564356435643564,0.7307692307692308,0.2692307692307693,0.7307692307692307,2.0
