Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
LightGBM,0.6730,+0.1320,2.01e-02,9.06e-01,✓,✗
XGBoost,0.6974,+0.1076,4.92e-02,1.00e+00,✓,✗
GradientBoosting,0.7227,+0.0823,1.37e-01,1.00e+00,✗,✗
NaiveBayes,0.7290,+0.0760,2.71e-04,1.22e-02,✓,✓
KNN,0.7366,+0.0684,3.47e-02,1.00e+00,✓,✗
RandomForest,0.7368,+0.0682,2.07e-01,1.00e+00,✗,✗
ExtraTrees,0.7488,+0.0562,5.01e-02,1.00e+00,✗,✗
LogisticRegression,0.7691,+0.0359,2.50e-01,1.00e+00,✗,✗
SVM_Linear,0.7785,+0.0265,2.15e-01,1.00e+00,✗,✗
