,SVM_RBF,SVM_Linear,LogisticRegression,ExtraTrees,RandomForest,KNN,NaiveBayes,GradientBoosting,XGBoost,LightGBM
SVM_RBF,1.0,0.21494943102636588,0.2503131275024367,0.05007596150402941,0.20723701799812877,0.034731430744792915,0.0002709548895964761,0.13653450083045165,0.049234025236065376,0.020122925092134907
SVM_Linear,0.21494943102636588,1.0,0.8754508049542147,0.22913247590909225,0.46575224671842297,0.1716479067956862,0.0010312548076150802,0.2952743721482701,0.14079632491163055,0.05220560541118265
LogisticRegression,0.2503131275024367,0.8754508049542147,1.0,0.24271094014286,0.47458095502372355,0.18968432195094564,0.000880363860387277,0.2909658450308703,0.1371215171287901,0.045897941087391245
ExtraTrees,0.05007596150402941,0.22913247590909225,0.24271094014286,1.0,0.7371699437834314,0.6565804479117356,0.024384624973465784,0.8285070386267509,0.4501068003258458,0.18102559123970985
RandomForest,0.20723701799812877,0.46575224671842297,0.47458095502372355,0.7371699437834314,1.0,0.5261966278129877,0.01929145519064595,0.6048719580249414,0.26372163520740033,0.09681050519113833
KNN,0.034731430744792915,0.1716479067956862,0.18968432195094564,0.6565804479117356,0.5261966278129877,1.0,0.028630923774639428,0.8888522931822911,0.819118000996129,0.36941491416666483
NaiveBayes,0.0002709548895964761,0.0010312548076150802,0.000880363860387277,0.024384624973465784,0.01929145519064595,0.028630923774639428,1.0,0.051129599615892446,0.09091857558712618,0.4244247335562257
GradientBoosting,0.13653450083045165,0.2952743721482701,0.2909658450308703,0.8285070386267509,0.6048719580249414,0.8888522931822911,0.051129599615892446,1.0,0.652806288017616,0.20454072445617955
XGBoost,0.049234025236065376,0.14079632491163055,0.1371215171287901,0.4501068003258458,0.26372163520740033,0.819118000996129,0.09091857558712618,0.652806288017616,1.0,0.3553859499686588
LightGBM,0.020122925092134907,0.05220560541118265,0.045897941087391245,0.18102559123970985,0.09681050519113833,0.36941491416666483,0.4244247335562257,0.20454072445617955,0.3553859499686588,1.0
