Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.805 ± 0.068,0.846 ± 0.089,0.719 ± 0.078,0.718 ± 0.065,0.733 ± 0.102,0.813 ± 0.176,0.754 ± 0.090,0.624 ± 0.142,7.600 ± 5.899
SVM_Linear,0.778 ± 0.085,0.831 ± 0.099,0.701 ± 0.079,0.701 ± 0.071,0.724 ± 0.109,0.778 ± 0.165,0.735 ± 0.090,0.624 ± 0.142,7.600 ± 5.899
LogisticRegression,0.769 ± 0.095,0.832 ± 0.092,0.699 ± 0.081,0.696 ± 0.080,0.744 ± 0.073,0.707 ± 0.161,0.715 ± 0.091,0.684 ± 0.134,7.600 ± 5.899
ExtraTrees,0.749 ± 0.054,0.793 ± 0.124,0.651 ± 0.102,0.649 ± 0.098,0.701 ± 0.131,0.626 ± 0.179,0.653 ± 0.137,0.672 ± 0.115,7.600 ± 5.899
RandomForest,0.737 ± 0.069,0.765 ± 0.123,0.686 ± 0.108,0.677 ± 0.102,0.720 ± 0.125,0.728 ± 0.176,0.709 ± 0.125,0.627 ± 0.202,7.600 ± 5.899
KNN,0.737 ± 0.110,0.769 ± 0.121,0.683 ± 0.087,0.685 ± 0.093,0.729 ± 0.134,0.754 ± 0.185,0.716 ± 0.094,0.616 ± 0.232,7.600 ± 5.899
NaiveBayes,0.729 ± 0.183,0.804 ± 0.093,0.565 ± 0.151,0.560 ± 0.164,0.627 ± 0.168,0.763 ± 0.231,0.651 ± 0.127,0.358 ± 0.386,7.600 ± 5.899
GradientBoosting,0.723 ± 0.090,0.756 ± 0.123,0.697 ± 0.093,0.679 ± 0.126,0.726 ± 0.151,0.747 ± 0.157,0.724 ± 0.114,0.611 ± 0.276,7.600 ± 5.899
XGBoost,0.697 ± 0.088,0.749 ± 0.137,0.672 ± 0.056,0.654 ± 0.091,0.686 ± 0.127,0.787 ± 0.074,0.723 ± 0.062,0.521 ± 0.238,7.600 ± 5.899
LightGBM,0.673 ± 0.070,0.704 ± 0.116,0.606 ± 0.050,0.591 ± 0.061,0.646 ± 0.137,0.635 ± 0.111,0.633 ± 0.095,0.547 ± 0.193,7.600 ± 5.899
