Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
KNN,0.6813,+0.1296,1.03e-02,4.63e-01,✓,✗
NaiveBayes,0.6862,+0.1248,1.07e-04,4.84e-03,✓,✓
XGBoost,0.7167,+0.0942,7.29e-02,1.00e+00,✗,✗
ExtraTrees,0.7500,+0.0610,4.33e-02,1.00e+00,✓,✗
GradientBoosting,0.7560,+0.0550,1.58e-02,7.12e-01,✓,✗
LightGBM,0.7666,+0.0443,2.96e-01,1.00e+00,✗,✗
RandomForest,0.7813,+0.0297,2.57e-01,1.00e+00,✗,✗
SVM_Linear,0.7882,+0.0228,3.13e-01,1.00e+00,✗,✗
SVM_RBF,0.7954,+0.0155,1.37e-01,1.00e+00,✗,✗
