,LogisticRegression,SVM_RBF,SVM_Linear,RandomForest,LightGBM,GradientBoosting,ExtraTrees,XGBoost,NaiveBayes,KNN
LogisticRegression,1.0,0.1369673060675933,0.313228338395106,0.2573640155865814,0.2963568307231378,0.01582755628554575,0.04328840323706633,0.07289037779527967,0.00010746697257439276,0.010278732003968314
SVM_RBF,0.1369673060675933,1.0,0.5219610437376029,0.8203937441309241,0.827676127985947,0.12279725433537599,0.1775146655110077,0.3243598017409274,0.0003334764207616708,0.053224142285933626
SVM_Linear,0.313228338395106,0.5219610437376029,1.0,0.5794644735621619,0.5945857399962553,0.10317024478669073,0.1463824575483752,0.2343860397180445,0.0002963051230285947,0.020979391386691058
RandomForest,0.2573640155865814,0.8203937441309241,0.5794644735621619,1.0,0.952323907309202,0.07405937753766514,0.33947741427287526,0.3285513609576034,0.00044492691549047315,0.12452248690261536
LightGBM,0.2963568307231378,0.827676127985947,0.5945857399962553,0.952323907309202,1.0,0.19425412360389205,0.45970550190752846,0.28004878530316557,0.0028768825660513025,0.19149877155432937
GradientBoosting,0.01582755628554575,0.12279725433537599,0.10317024478669073,0.07405937753766514,0.19425412360389205,1.0,0.5641114268137091,0.7343929665196609,0.03245124802475253,0.7011379786551502
ExtraTrees,0.04328840323706633,0.1775146655110077,0.1463824575483752,0.33947741427287526,0.45970550190752846,0.5641114268137091,1.0,0.8756576586039667,0.004687957944228082,0.3833788852697224
XGBoost,0.07289037779527967,0.3243598017409274,0.2343860397180445,0.3285513609576034,0.28004878530316557,0.7343929665196609,0.8756576586039667,1.0,0.021697921171918887,0.5749669915382571
NaiveBayes,0.00010746697257439276,0.0003334764207616708,0.0002963051230285947,0.00044492691549047315,0.0028768825660513025,0.03245124802475253,0.004687957944228082,0.021697921171918887,1.0,0.07465550764748949
KNN,0.010278732003968314,0.053224142285933626,0.020979391386691058,0.12452248690261536,0.19149877155432937,0.7011379786551502,0.3833788852697224,0.5749669915382571,0.07465550764748949,1.0
