Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.811 ± 0.031,0.821 ± 0.120,0.759 ± 0.069,0.755 ± 0.072,0.785 ± 0.088,0.807 ± 0.143,0.784 ± 0.066,0.704 ± 0.161,9.200 ± 5.020
SVM_RBF,0.795 ± 0.053,0.822 ± 0.103,0.708 ± 0.070,0.714 ± 0.064,0.739 ± 0.134,0.798 ± 0.174,0.744 ± 0.078,0.630 ± 0.186,9.200 ± 5.020
SVM_Linear,0.788 ± 0.049,0.802 ± 0.120,0.724 ± 0.072,0.709 ± 0.082,0.720 ± 0.124,0.860 ± 0.109,0.772 ± 0.064,0.558 ± 0.222,9.200 ± 5.020
RandomForest,0.781 ± 0.046,0.811 ± 0.113,0.701 ± 0.079,0.713 ± 0.070,0.759 ± 0.139,0.752 ± 0.199,0.727 ± 0.088,0.674 ± 0.213,9.200 ± 5.020
LightGBM,0.767 ± 0.061,0.784 ± 0.094,0.674 ± 0.123,0.679 ± 0.120,0.749 ± 0.146,0.643 ± 0.133,0.683 ± 0.124,0.716 ± 0.169,9.200 ± 5.020
GradientBoosting,0.756 ± 0.077,0.789 ± 0.149,0.711 ± 0.100,0.722 ± 0.091,0.748 ± 0.155,0.773 ± 0.122,0.745 ± 0.089,0.671 ± 0.177,9.200 ± 5.020
ExtraTrees,0.750 ± 0.059,0.783 ± 0.138,0.709 ± 0.105,0.721 ± 0.103,0.758 ± 0.172,0.736 ± 0.110,0.734 ± 0.104,0.705 ± 0.177,9.200 ± 5.020
XGBoost,0.717 ± 0.047,0.763 ± 0.117,0.692 ± 0.046,0.687 ± 0.055,0.724 ± 0.135,0.733 ± 0.147,0.716 ± 0.089,0.642 ± 0.164,9.200 ± 5.020
NaiveBayes,0.686 ± 0.106,0.757 ± 0.069,0.581 ± 0.118,0.569 ± 0.125,0.630 ± 0.162,0.810 ± 0.175,0.682 ± 0.060,0.329 ± 0.319,9.200 ± 5.020
KNN,0.681 ± 0.130,0.712 ± 0.163,0.677 ± 0.122,0.659 ± 0.117,0.679 ± 0.137,0.737 ± 0.190,0.703 ± 0.157,0.581 ± 0.102,9.200 ± 5.020
