Model,FS_METHOD,N_Outer_Folds,Mean_Selected_Features,Std_Selected_Features,Min_Selected_Features,Max_Selected_Features,Selected_Features_Per_Fold
LogisticRegression,elasticnet_then_mrmr,5,7.6,5.8991524815010505,4,18,"[np.int64(6), np.int64(4), np.int64(6), np.int64(18), np.int64(4)]"
SVM_RBF,elasticnet_then_mrmr,5,7.6,5.8991524815010505,4,18,"[np.int64(6), np.int64(4), np.int64(6), np.int64(18), np.int64(4)]"
SVM_Linear,elasticnet_then_mrmr,5,7.6,5.8991524815010505,4,18,"[np.int64(6), np.int64(4), np.int64(6), np.int64(18), np.int64(4)]"
RandomForest,elasticnet_then_mrmr,5,7.6,5.8991524815010505,4,18,"[np.int64(6), np.int64(4), np.int64(6), np.int64(18), np.int64(4)]"
GradientBoosting,elasticnet_then_mrmr,5,7.6,5.8991524815010505,4,18,"[np.int64(6), np.int64(4), np.int64(6), np.int64(18), np.int64(4)]"
ExtraTrees,elasticnet_then_mrmr,5,7.6,5.8991524815010505,4,18,"[np.int64(6), np.int64(4), np.int64(6), np.int64(18), np.int64(4)]"
KNN,elasticnet_then_mrmr,5,7.6,5.8991524815010505,4,18,"[np.int64(6), np.int64(4), np.int64(6), np.int64(18), np.int64(4)]"
NaiveBayes,elasticnet_then_mrmr,5,7.6,5.8991524815010505,4,18,"[np.int64(6), np.int64(4), np.int64(6), np.int64(18), np.int64(4)]"
XGBoost,elasticnet_then_mrmr,5,7.6,5.8991524815010505,4,18,"[np.int64(6), np.int64(4), np.int64(6), np.int64(18), np.int64(4)]"
LightGBM,elasticnet_then_mrmr,5,7.6,5.8991524815010505,4,18,"[np.int64(6), np.int64(4), np.int64(6), np.int64(18), np.int64(4)]"
