Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.735 ± 0.197,0.807 ± 0.105,0.650 ± 0.124,0.668 ± 0.151,0.674 ± 0.145,0.717 ± 0.215,0.674 ± 0.103,0.618 ± 0.193,13.200 ± 4.817
XGBoost,0.727 ± 0.114,0.796 ± 0.075,0.636 ± 0.068,0.662 ± 0.087,0.672 ± 0.128,0.673 ± 0.204,0.647 ± 0.076,0.651 ± 0.096,13.200 ± 4.817
ExtraTrees,0.727 ± 0.139,0.772 ± 0.095,0.657 ± 0.068,0.690 ± 0.085,0.710 ± 0.150,0.662 ± 0.215,0.655 ± 0.085,0.718 ± 0.125,13.200 ± 4.817
SVM_Linear,0.722 ± 0.156,0.748 ± 0.136,0.639 ± 0.083,0.667 ± 0.097,0.665 ± 0.173,0.730 ± 0.200,0.668 ± 0.091,0.604 ± 0.169,13.200 ± 4.817
LogisticRegression,0.717 ± 0.172,0.747 ± 0.154,0.668 ± 0.120,0.693 ± 0.134,0.697 ± 0.161,0.717 ± 0.215,0.683 ± 0.115,0.669 ± 0.153,13.200 ± 4.817
LightGBM,0.717 ± 0.116,0.793 ± 0.055,0.621 ± 0.127,0.639 ± 0.136,0.642 ± 0.097,0.661 ± 0.244,0.632 ± 0.135,0.618 ± 0.048,13.200 ± 4.817
RandomForest,0.709 ± 0.134,0.792 ± 0.109,0.634 ± 0.068,0.628 ± 0.065,0.643 ± 0.099,0.659 ± 0.129,0.643 ± 0.092,0.598 ± 0.072,13.200 ± 4.817
KNN,0.695 ± 0.171,0.734 ± 0.133,0.614 ± 0.118,0.635 ± 0.122,0.636 ± 0.170,0.735 ± 0.213,0.654 ± 0.121,0.536 ± 0.210,13.200 ± 4.817
GradientBoosting,0.678 ± 0.129,0.770 ± 0.075,0.545 ± 0.074,0.544 ± 0.085,0.564 ± 0.118,0.674 ± 0.218,0.593 ± 0.093,0.413 ± 0.241,13.200 ± 4.817
NaiveBayes,0.599 ± 0.164,0.688 ± 0.149,0.519 ± 0.156,0.517 ± 0.160,0.531 ± 0.154,0.769 ± 0.223,0.613 ± 0.146,0.264 ± 0.141,13.200 ± 4.817
