Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_Linear,0.827 ± 0.052,0.882 ± 0.044,0.706 ± 0.073,0.728 ± 0.055,0.751 ± 0.160,0.793 ± 0.196,0.739 ± 0.069,0.664 ± 0.234,8.800 ± 5.020
LogisticRegression,0.821 ± 0.039,0.875 ± 0.051,0.706 ± 0.069,0.736 ± 0.042,0.790 ± 0.130,0.694 ± 0.194,0.713 ± 0.066,0.777 ± 0.146,8.800 ± 5.020
SVM_RBF,0.819 ± 0.050,0.868 ± 0.086,0.688 ± 0.072,0.715 ± 0.037,0.741 ± 0.162,0.764 ± 0.198,0.718 ± 0.080,0.666 ± 0.203,8.800 ± 5.020
NaiveBayes,0.772 ± 0.096,0.824 ± 0.121,0.646 ± 0.107,0.637 ± 0.130,0.676 ± 0.207,0.800 ± 0.164,0.707 ± 0.097,0.474 ± 0.371,8.800 ± 5.020
ExtraTrees,0.769 ± 0.126,0.832 ± 0.141,0.626 ± 0.125,0.649 ± 0.122,0.715 ± 0.211,0.584 ± 0.193,0.620 ± 0.150,0.714 ± 0.199,8.800 ± 5.020
RandomForest,0.750 ± 0.145,0.815 ± 0.151,0.619 ± 0.161,0.645 ± 0.165,0.723 ± 0.228,0.617 ± 0.201,0.635 ± 0.146,0.673 ± 0.282,8.800 ± 5.020
LightGBM,0.749 ± 0.134,0.805 ± 0.139,0.625 ± 0.119,0.641 ± 0.149,0.682 ± 0.201,0.688 ± 0.207,0.658 ± 0.121,0.594 ± 0.271,8.800 ± 5.020
GradientBoosting,0.730 ± 0.121,0.796 ± 0.124,0.563 ± 0.090,0.581 ± 0.131,0.639 ± 0.215,0.695 ± 0.247,0.622 ± 0.095,0.467 ± 0.375,8.800 ± 5.020
XGBoost,0.719 ± 0.145,0.774 ± 0.173,0.616 ± 0.078,0.642 ± 0.095,0.681 ± 0.192,0.717 ± 0.198,0.661 ± 0.077,0.567 ± 0.251,8.800 ± 5.020
KNN,0.705 ± 0.108,0.761 ± 0.101,0.621 ± 0.062,0.642 ± 0.107,0.675 ± 0.186,0.699 ± 0.124,0.665 ± 0.043,0.584 ± 0.248,8.800 ± 5.020
