Model,Threshold,Net_Benefit
LogisticRegression,0.01,0.5569732411837675
LogisticRegression,0.02,0.5524525599713569
LogisticRegression,0.03,0.547838668837041
LogisticRegression,0.04,0.5431286549707602
LogisticRegression,0.05,0.5392428439519852
LogisticRegression,0.060000000000000005,0.5350877192982456
LogisticRegression,0.06999999999999999,0.5303716279947179
LogisticRegression,0.08,0.5255530129672006
LogisticRegression,0.09,0.5030846346635821
LogisticRegression,0.09999999999999999,0.49805068226120863
LogisticRegression,0.11,0.49507194953676326
LogisticRegression,0.12,0.4900318979266348
LogisticRegression,0.13,0.484875983061101
LogisticRegression,0.14,0.4796001631986944
LogisticRegression,0.15000000000000002,0.4742002063983488
LogisticRegression,0.16,0.46324143692564745
LogisticRegression,0.17,0.45962798562671736
LogisticRegression,0.18000000000000002,0.4454428754813864
LogisticRegression,0.19,0.4419536495559887
LogisticRegression,0.2,0.43859649122807015
LogisticRegression,0.21000000000000002,0.4353764157228514
LogisticRegression,0.22,0.43229869545659017
LogisticRegression,0.23,0.42674868990658466
LogisticRegression,0.24000000000000002,0.4238227146814404
LogisticRegression,0.25,0.42105263157894735
LogisticRegression,0.26,0.41844476055002366
LogisticRegression,0.27,0.4160057678442682
LogisticRegression,0.28,0.41374269005847947
LogisticRegression,0.29000000000000004,0.39930812947862615
LogisticRegression,0.3,0.3884711779448622
LogisticRegression,0.31,0.3866005593694381
LogisticRegression,0.32,0.3720330237358101
LogisticRegression,0.33,0.37038491751767477
LogisticRegression,0.34,0.3692185007974481
LogisticRegression,0.35000000000000003,0.3684210526315789
LogisticRegression,0.36000000000000004,0.3464912280701754
LogisticRegression,0.37,0.3464216095795043
LogisticRegression,0.38,0.33786078098471983
LogisticRegression,0.39,0.3208225481737129
LogisticRegression,0.4,0.30701754385964913
LogisticRegression,0.41000000000000003,0.307909604519774
LogisticRegression,0.42000000000000004,0.30036297640653353
LogisticRegression,0.43,0.29978454909202834
LogisticRegression,0.44,0.30200501253132833
LogisticRegression,0.45,0.29585326953748003
LogisticRegression,0.46,0.2826510721247564
LogisticRegression,0.47000000000000003,0.28483945713339953
LogisticRegression,0.48000000000000004,0.2719298245614035
LogisticRegression,0.49,0.2672858617131063
LogisticRegression,0.5,0.2631578947368421
LogisticRegression,0.51,0.2588614393125671
LogisticRegression,0.52,0.21929824561403505
LogisticRegression,0.53,0.2146323254945875
LogisticRegression,0.54,0.20976353928299007
LogisticRegression,0.55,0.2153996101364522
LogisticRegression,0.56,0.22169059011164272
LogisticRegression,0.5700000000000001,0.21705426356589141
LogisticRegression,0.5800000000000001,0.20342522974101918
LogisticRegression,0.59,0.210954214805306
LogisticRegression,0.6,0.19736842105263158
LogisticRegression,0.61,0.20602789023841656
LogisticRegression,0.62,0.1837488457987073
