Comparison,Best_Model,Other_Model,Mean_AUC_Best,Mean_AUC_Other,Mean_AUC_Difference,Wilcoxon_Statistic,Wilcoxon_p_value,Wilcoxon_q_value_FDR
LogisticRegression vs ExtraTrees,LogisticRegression,ExtraTrees,0.6828952692187987,0.5654520697167756,0.11744319950202309,0.0,0.0625,0.24107142857142858
LogisticRegression vs GradientBoosting,LogisticRegression,GradientBoosting,0.6828952692187987,0.5843020541549954,0.09859321506380336,1.0,0.125,0.24107142857142858
LogisticRegression vs KNN,LogisticRegression,KNN,0.6828952692187987,0.5986788048552755,0.08421646436352323,2.0,0.1875,0.24107142857142858
LogisticRegression vs LightGBM,LogisticRegression,LightGBM,0.6828952692187987,0.6019444444444444,0.08095082477435422,2.0,0.1875,0.24107142857142858
LogisticRegression vs NaiveBayes,LogisticRegression,NaiveBayes,0.6828952692187987,0.6192250233426704,0.06367024587612824,3.0,0.3125,0.3125
LogisticRegression vs RandomForest,LogisticRegression,RandomForest,0.6828952692187987,0.5563678804855275,0.12652738873327113,0.0,0.0625,0.24107142857142858
LogisticRegression vs SVM_Linear,LogisticRegression,SVM_Linear,0.6828952692187987,0.6547121070650481,0.02818316215375044,3.0,0.3125,0.3125
LogisticRegression vs SVM_RBF,LogisticRegression,SVM_RBF,0.6828952692187987,0.643881107998755,0.0390141612200436,2.0,0.1875,0.24107142857142858
LogisticRegression vs XGBoost,LogisticRegression,XGBoost,0.6828952692187987,0.591311858076564,0.09158341114223471,1.0,0.125,0.24107142857142858
