Metric,Value
ROC-AUC,0.6739783653846154
PR-AUC,0.7284721833549945
Balanced Acc.,0.6382211538461539
Sensitivity,0.71875
Specificity,0.5576923076923077
PPV,0.6666666666666666
NPV,0.6170212765957447
Kappa,0.27895694360218315
