k,mean_score,std_score,fold_scores,metric,tuning_model
18,0.6708827807899015,0.12199440364635912,"[0.5080213903743316, 0.8016194331983806, 0.7030075187969925]",auc,LogisticRegression
14,0.6194079398413763,0.08390534487422399,"[0.5080213903743315, 0.6396761133603238, 0.7105263157894737]",auc,LogisticRegression
16,0.6145392275423235,0.07920718446567171,"[0.5133689839572192, 0.6234817813765182, 0.706766917293233]",auc,LogisticRegression
12,0.5675490660010784,0.09319372919610293,"[0.4973262032085561, 0.5060728744939271, 0.6992481203007519]",auc,LogisticRegression
10,0.5156566859353237,0.12505039254733627,"[0.3850267379679144, 0.47773279352226716, 0.6842105263157895]",auc,LogisticRegression
4,0.4915657098319637,0.11804446192253586,"[0.3315508021390374, 0.5303643724696356, 0.612781954887218]",auc,LogisticRegression
8,0.47878488900160726,0.09634965851174809,"[0.39037433155080214, 0.4331983805668016, 0.612781954887218]",auc,LogisticRegression
6,0.4686634315117287,0.0847899258061656,"[0.39037433155080214, 0.4291497975708502, 0.5864661654135338]",auc,LogisticRegression
