fold,C,l1_ratio
1,0.011337408993422364,0.018966613949799427
2,0.01418464332428003,0.0007664894092164198
3,0.6253370325124864,0.5123500069997124
4,0.3675257878593652,0.20920212211718958
5,0.853267149200008,0.47192155792224083
