,LightGBM,SVM_RBF,RandomForest,LogisticRegression,SVM_Linear,KNN,NaiveBayes,GradientBoosting,ExtraTrees,XGBoost
LightGBM,1.0,0.2714500042209623,0.326506288807626,0.317564658347661,0.17601399641670057,0.05613160457082538,0.03153089338485912,0.05686241732140648,0.009364740985057702,0.002209767987391307
SVM_RBF,0.2714500042209623,1.0,0.6468666100369864,0.8761331969545691,0.4338399215173502,0.3374224562208338,0.11611132232073249,0.44526772064317044,0.033798896682083364,0.1706204423926313
RandomForest,0.326506288807626,0.6468666100369864,1.0,0.71447495090771,0.4149911610108058,0.14753363884908055,0.09556529404918648,0.07740019757478273,0.026335393888220128,0.023374788276461396
LogisticRegression,0.317564658347661,0.8761331969545691,0.71447495090771,1.0,0.29292546956149,0.30042953976396625,0.07851603829952244,0.38158113792280446,0.059765696016220685,0.17557859234304318
SVM_Linear,0.17601399641670057,0.4338399215173502,0.4149911610108058,0.29292546956149,1.0,0.5201299293626057,0.19425662716624992,0.7029475241726384,0.15078993837432117,0.3126266342550539
KNN,0.05613160457082538,0.3374224562208338,0.14753363884908055,0.30042953976396625,0.5201299293626057,1.0,0.5634748069742144,0.7020580622814201,0.6440210322007399,0.7312648117243825
NaiveBayes,0.03153089338485912,0.11611132232073249,0.09556529404918648,0.07851603829952244,0.19425662716624992,0.5634748069742144,1.0,0.3838327396702873,0.7911666809831193,0.795631942712107
GradientBoosting,0.05686241732140648,0.44526772064317044,0.07740019757478273,0.38158113792280446,0.7029475241726384,0.7020580622814201,0.3838327396702873,1.0,0.40086430514074634,0.3264198660612915
ExtraTrees,0.009364740985057702,0.033798896682083364,0.026335393888220128,0.059765696016220685,0.15078993837432117,0.6440210322007399,0.7911666809831193,0.40086430514074634,1.0,0.9679290886197489
XGBoost,0.002209767987391307,0.1706204423926313,0.023374788276461396,0.17557859234304318,0.3126266342550539,0.7312648117243825,0.795631942712107,0.3264198660612915,0.9679290886197489,1.0
