,LightGBM,SVM_RBF,RandomForest,LogisticRegression,SVM_Linear,KNN,NaiveBayes,GradientBoosting,ExtraTrees,XGBoost
LightGBM,0.0,1.0997294844762169,0.9811753275251991,0.9994749699897598,1.3531303339843253,1.9100124947676562,2.15030757793663,1.9043668968557546,2.5984436650947145,3.0604877517943545
SVM_RBF,-1.0997294844762169,0.0,-0.4581194721930356,-0.15587291255167474,0.7826376570021387,0.9592705722039255,1.571307145209255,0.7633281455581296,2.1224627606778044,1.3702129327127126
RandomForest,-0.9811753275251991,0.4581194721930356,0.0,0.36585275633127057,0.8151417761616006,1.448298314542574,1.6667441291442076,1.7659740797358805,2.2212299019286283,2.2672527796630315
LogisticRegression,-0.9994749699897598,0.15587291255167474,-0.36585275633127057,0.0,1.051725583985859,1.0355126973268571,1.7593620215704326,0.8749867082469167,1.8825181640095916,1.3544947338900566
SVM_Linear,-1.3531303339843253,-0.7826376570021387,-0.8151417761616006,-1.051725583985859,0.0,0.6431451357784803,1.298089368493902,0.38134465285455543,1.436746847136594,1.0097258913965088
KNN,-1.9100124947676562,-0.9592705722039255,-1.448298314542574,-1.0355126973268571,-0.6431451357784803,0.0,0.5776879634497706,-0.3825437794806591,0.46208407169651716,0.34344353636210756
NaiveBayes,-2.15030757793663,-1.571307145209255,-1.6667441291442076,-1.7593620215704326,-1.298089368493902,-0.5776879634497706,0.0,-0.8708560810744143,-0.2647959188667957,-0.2590042741364574
GradientBoosting,-1.9043668968557546,-0.7633281455581296,-1.7659740797358805,-0.8749867082469167,-0.38134465285455543,0.3825437794806591,0.8708560810744143,0.0,0.8400786228091132,0.9813506243669647
ExtraTrees,-2.5984436650947145,-2.1224627606778044,-2.2212299019286283,-1.8825181640095916,-1.436746847136594,-0.46208407169651716,0.2647959188667957,-0.8400786228091132,0.0,-0.04020575612317251
XGBoost,-3.0604877517943545,-1.3702129327127126,-2.2672527796630315,-1.3544947338900566,-1.0097258913965088,-0.34344353636210756,0.2590042741364574,-0.9813506243669647,0.04020575612317251,0.0
