Feature_Original,Feature_Index,Feature_Sanitized,MeanAbsSHAP,Selection_Count
GLSZM_GreyLevelVariance,142,GLSZM_GreyLevelVariance,0.0879084921622835,2
IB_IntensityBasedEnergy,53,IB_IntensityBasedEnergy,0.0669406101776302,3
GLSZM_NormalisedGreyLevelNonUniformity,138,GLSZM_NormalisedGreyLevelNonUniformity,0.06527564029167558,2
Morph_Compactness2,7,Morph_Compactness2,0.05777920550448251,2
IB_IntensitySkewness,34,IB_IntensitySkewness,0.05700348459529664,4
NGTDM_Strength,128,NGTDM_Strength,0.03886002798307157,2
Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,26,Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,0.027317526843534435,2
