,LogisticRegression,SVM_Linear,SVM_RBF,LightGBM,NaiveBayes,XGBoost,KNN,GradientBoosting,ExtraTrees,RandomForest
LogisticRegression,1.0,0.03347973287948022,0.18574278957818424,0.18614571830540694,0.1568943744760911,0.24122527061602317,0.0075315932542962365,0.020622914677231884,0.23100247077296066,0.05467145422808719
SVM_Linear,0.03347973287948022,1.0,0.891076763488128,0.4486422992653909,0.5831556508618844,0.5755885404071082,0.02692858525993219,0.09993005254035818,0.6577538773154874,0.20195378353595628
SVM_RBF,0.18574278957818424,0.891076763488128,1.0,0.408377883285702,0.4813071641941038,0.5366068526168204,0.025248741624541732,0.07399165369604269,0.5403490725992947,0.16732021272902187
LightGBM,0.18614571830540694,0.4486422992653909,0.408377883285702,1.0,0.7436023312440938,0.7043940918362025,0.3168867697220329,0.4989918114101741,0.6449113502502473,0.6840097050855144
NaiveBayes,0.1568943744760911,0.5831556508618844,0.4813071641941038,0.7436023312440938,1.0,0.9024656078523355,0.1370164832515742,0.2258771007596515,0.9059569208286532,0.46224980206773825
XGBoost,0.24122527061602317,0.5755885404071082,0.5366068526168204,0.7043940918362025,0.9024656078523355,1.0,0.18553361752075725,0.2835896316921207,0.805252140185338,0.4002568781964375
KNN,0.0075315932542962365,0.02692858525993219,0.025248741624541732,0.3168867697220329,0.1370164832515742,0.18553361752075725,1.0,0.6442716771035979,0.06563720160262182,0.380420120045287
GradientBoosting,0.020622914677231884,0.09993005254035818,0.07399165369604269,0.4989918114101741,0.2258771007596515,0.2835896316921207,0.6442716771035979,1.0,0.1805874001050497,0.6660502560557873
ExtraTrees,0.23100247077296066,0.6577538773154874,0.5403490725992947,0.6449113502502473,0.9059569208286532,0.805252140185338,0.06563720160262182,0.1805874001050497,1.0,0.30448866265284447
RandomForest,0.05467145422808719,0.20195378353595628,0.16732021272902187,0.6840097050855144,0.46224980206773825,0.4002568781964375,0.380420120045287,0.6660502560557873,0.30448866265284447,1.0
