Feature_Family,N_Features,Percentage
Morphological,160,22.099447513812155
IB,120,16.574585635359117
HI,150,20.718232044198896
GLCM,120,16.574585635359117
GLRLM,70,9.668508287292818
GLSZM,79,10.911602209944752
NGTDM,25,3.453038674033149
