Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.678 ± 0.110,0.743 ± 0.053,0.593 ± 0.110,0.592 ± 0.084,0.597 ± 0.139,0.794 ± 0.209,0.657 ± 0.125,0.391 ± 0.203,10.400 ± 4.775
LogisticRegression,0.675 ± 0.071,0.709 ± 0.120,0.605 ± 0.052,0.608 ± 0.041,0.634 ± 0.152,0.648 ± 0.118,0.622 ± 0.095,0.569 ± 0.156,10.400 ± 4.775
SVM_Linear,0.664 ± 0.090,0.702 ± 0.133,0.610 ± 0.095,0.606 ± 0.100,0.608 ± 0.128,0.799 ± 0.181,0.671 ± 0.101,0.413 ± 0.185,10.400 ± 4.775
XGBoost,0.644 ± 0.139,0.694 ± 0.134,0.559 ± 0.133,0.565 ± 0.090,0.578 ± 0.179,0.666 ± 0.172,0.600 ± 0.162,0.464 ± 0.147,10.400 ± 4.775
NaiveBayes,0.642 ± 0.069,0.680 ± 0.093,0.577 ± 0.067,0.548 ± 0.030,0.560 ± 0.135,0.854 ± 0.095,0.670 ± 0.119,0.242 ± 0.111,10.400 ± 4.775
LightGBM,0.631 ± 0.169,0.706 ± 0.116,0.625 ± 0.082,0.647 ± 0.085,0.645 ± 0.154,0.692 ± 0.226,0.641 ± 0.126,0.602 ± 0.109,10.400 ± 4.775
ExtraTrees,0.596 ± 0.155,0.662 ± 0.105,0.554 ± 0.090,0.544 ± 0.103,0.563 ± 0.112,0.630 ± 0.156,0.585 ± 0.113,0.458 ± 0.151,10.400 ± 4.775
GradientBoosting,0.591 ± 0.088,0.701 ± 0.064,0.508 ± 0.088,0.493 ± 0.104,0.533 ± 0.135,0.666 ± 0.082,0.581 ± 0.093,0.320 ± 0.213,10.400 ± 4.775
RandomForest,0.587 ± 0.114,0.661 ± 0.114,0.571 ± 0.086,0.570 ± 0.094,0.590 ± 0.121,0.605 ± 0.154,0.584 ± 0.110,0.536 ± 0.139,10.400 ± 4.775
KNN,0.563 ± 0.140,0.625 ± 0.096,0.497 ± 0.102,0.506 ± 0.124,0.529 ± 0.124,0.749 ± 0.203,0.599 ± 0.088,0.262 ± 0.129,10.400 ± 4.775
